Year,Competition,Date,Location,Opponent,Score,Result,Noise_Field_1,Irrelevant_2,Extra_Data_3
1990,"World Group, 1st Round",2–4 Feb,Barcelona (ESP),Spain,3–2,Win,oRsNlJJa,zhwhA,587
1990,"World Group, Quarterfinals",30 Mar – 2 Apr,Vienna (AUT),Italy,5–0,Win,fnwbHUtz,1kGREU5s,301
1990,"World Group, Semifinals",21–23 Sep,Vienna (AUT),United States,2–3,Loss,MJyKPjJa,csdTg,297
1991,"World Group, 1st Round",1–3 Feb,Prague (TCH),Czechoslovakia,1–4,Loss,avICAfy,YMwWIN,964
1991,"World Group, Relegation Play-offs",20–22 Sep,Manchester (GBR),Great Britain,1–3,Loss,yGzpkNLL,mvS9q,62
1992,"Euro/African Zone Group I, 1st Round",BYE,BYE,BYE,BYE,BYE,NXyZy,NbFJEI,640
1992,"Euro/African Zone Group I, Semifinals",1–3 May,Helsinki (FIN),Finland,4–1,Win,YKhWz,RG40qVnY,895
1992,"World Group, Relegation Play-offs",25–27 Sep,Vancouver (CAN),Canada,3–1,Win,Cfqcks,u5RW7Pt,842
1993,"World Group, 1st Round",26–28 Mar,Vienna (AUT),France,1–4,Loss,rTABb,E67YJjx,341
1993,"World Group, Relegation Play-offs",24–26 Sep,Christchurch (NZL),New Zealand,3–2,Win,RIWGBV,ayF7mF,565
1994,"World Group, 1st Round",26–28 Mar,Graz (AUT),Germany,2–3,Loss,iyCSJ,rTnJzZP4,167
1994,"World Group, Relegation Play-offs",23–25 Sep,Montevideo (URU),Uruguay,3–2,Win,jlJyoK,cCE1gui,961
