Player,Played,Legs Won,Legs Lost,LWAT,100+,140+,180s,High Checkout,3-dart Average
Phil Taylor,5,74,20,34,130,77,44,144,105.73
Raymond van Barneveld,3,35,30,9,85,43,17,126,98.10
Gary Anderson,2,17,19,4,42,28,10,151,97.98
Kevin Painter,2,13,16,5,32,18,8,130,96.71
Mervyn King,4,45,38,16,112,66,18,147,96.30
Co Stompé,1,7,10,2,26,9,4,127,95.84
James Wade,3,33,26,10,75,47,12,153,95.73
Andy Smith,1,5,10,1,19,15,1,112,95.29
Terry Jenkins,5,61,58,20,157,80,26,131,94.08
Adrian Lewis,3,26,28,13,63,40,13,156,93.69
Ronnie Baxter,4,54,49,18,142,49,19,132,93.35
