Player,Played,Legs Won,Legs Lost,LWAT,100+,140+,180s,High Checkout,3-dart Average
Alan Tabern,2,24,21,8,66,32,7,157,92.68
Steve Beaton,2,18,20,8,52,23,5,110,92.58
Vincent van der Voort,3,29,28,9,71,42,13,131,92.57
Jelle Klaasen,1,8,10,2,24,4,4,71,92.19
Mark Walsh,2,21,18,9,49,26,9,121,92.02
Wes Newton,1,3,10,1,16,3,5,96,91.92
Michael van Gerwen,1,3,10,0,14,6,1,126,91.26
Andy Hamilton,1,6,10,2,21,7,4,120,91.18
Denis Ovens,2,22,19,12,64,32,5,125,90.63
Wayne Jones,1,7,10,4,26,12,4,121,90.06
Peter Wright,1,4,10,1,17,9,2,96,89.39
