#,Date,Venue,Opponent,Score,Result,Competition
43,15 February 2009,"Pearse Stadium, Salthill",Galway,–,0–13 : 3–12,National Football League Round 2
44,8 March 2009,"Ballyshannon, Donegal",Donegal,–,0–13 : 1–8,National Football League Round 3
45,14 March 2009,"Parnell Park, Dublin",Derry,–,1–12 : 0–20,National Football League Round 4
46,29 March 2009,"Parnell Park, Dublin",Kerry,–,1–15 : 1–15,National Football League Round 6
47,12 April 2009,"Parnell Park, Dublin",Westmeath,–,5–22 : 0–10,National Football League Round 7
48,7 February 2010,"Fitzgerald Stadium, Killarney",Kerry,–,1–12 : 1–10,National Football League Round 1
49,7 March 2010,"McHale Park, Castlebar",Mayo,–,1–9 : 1–8,National Football League Round 3
50,13 March 2010,"Parnell Park, Dublin",Monaghan,–,2–11 : 1–9,National Football League Round 4
51,20 March 2010,"Pairc Ui Rinn, Cork",Cork,–,2–6 : 2–13,National Football League Round 5
52,27 March 2010,"Parnell Park, Dublin",Galway,–,0–14 : 1–14,National Football League Round 6
