#,Date,Venue,Opponent,Score,Result,Competition,Unused_1,Random_Column_2,Filler_3
23,12 February 2006,"Parnell Park, Dublin",Monaghan,–,0–7 : 1–11,National Football League Round 2,,Me5hWn4H,RfblXYD
24,4 March 2006,"Parnell Park, Dublin",Offaly,–,1–10 : 3–2,National Football League Round 3,,PiYVK,PzrbmIm
25,11 March 2006,"Pairc Ui Rinn, Cork",Cork,–,1–10 : 1–11,National Football League Round 4,,8FGUSP,HhjgUOe
26,19 March 2006,"Brewster Park, Fermanagh",Fermanagh,–,0–8 : 0–9,National Football League Round 5,,vGS2Fu,uizLEV
27,25 March 2006,"Parnell Park, Dublin",Mayo,–,4–10 : 1–10,National Football League Round 6,,H9vpq,nFsbDEK
28,9 April 2006,"Fitzgerald Stadium, Kerry",Kerry,–,0–13 : 0–13,National Football League Round 7,,YTp5Hs2Q,FeWInVM
29,3 February 2007,"Croke Park, Dublin",Tyrone,–,0–10 : 0–11,National Football League Round 1,,Ks7zz,imtAQvoI
30,10 February 2007,"Gaelic Grounds, Limerick",Limerick,–,0–14 : 1–10,National Football League Round 2,,5CeLhYF,qBZZcm
31,25 February 2007,"Ballyshannon, Donegal",Donegal,–,0–5 : 0–9,National Football League Round 3,,Blaiwu,AjeRj
32,10 March 2007,"Parnell Park, Dublin",Cork,–,1–13 : 0–7,National Football League Round 4,,hwMxSq,RbgzAHB
