Season,Greek League,Greek Cup,Europe,Coach,Roster,Extra_Data_1,Irrelevant_2
1928-29,Champion,-,-,Nikos Nisiotis,"Christos Svolopoulos, Dimitris Sidiropoulos, Evagelinos, Sfikas, Spiridakis, Alexandros Sidiropoulos, Symeonidis, Skepers",711,HddrL
1938-39,Champion,-,-,,,770,p3yDB
1939-40,Champion,-,-,,,970,iWKSAy
1949-50,Finalist,-,-,,,152,ZZ4MUjV
1950-51,Finalist,-,-,,,403,zzf5gO
1952-53,Champion,-,-,,"Themis Cholevas, Panagiotis Manias, Kostas Papadimas, Mimis Stefanidis, Aristidis Roubanis",748,iOfEx
1953-54,Finalist,-,-,,,387,bjfWY
1954-55,Champion,-,-,,Antonis Christeas,655,4i4eN
1956-57,Champion,-,-,,"Antonis Christeas, Themis Cholevas, Kostas Papadimas, Mimis Stefanidis, Giorgos Moshos, Sakkelis, Mavroleon, Karvelas, Makrinikolas, Lekkas",36,hRjEsbPm
1957-58,_,-,EuroleagueLast 32,,,23,H8SebNyX
1969-70,3rd place,_,_,,Vasilis Goumas,827,k9qkA00
1974-75,_,-,Korać CupLast 32,,Vasilis Goumas,487,CenL6vB
1975-76,_,Last 32,Korać CupLast 16,,Vasilis Goumas,456,n5XvtPV
