Season,Greek League,Greek Cup,Europe,Coach,Roster
1977-78,3rd place,Last 16,Korać CupLast 16,,
1978-79,_,Last 8,Korać CupLast 32,,
1980-81,_,Last 16,Korać CupLast 32,,
1986-87,_,Finalist,Cup Winners' CupLast 32,Nikos Pavlou,"Giannopoulos, Stamatis, Dakouris, Malah, Tsekos, Pandraklakis, Katsibas, Tsapralis, Kokorogiannis, Zafiropoulos"
1987-88,9th place,Last 4,Cup Winners' CupLast 32,,
2004-05,12th place,Last 16,-,"Manos Manouselis,Kostas Petropoulos","Gary Trent, Miroslav Berić, Aleksandar Ćapin, Bariša Krasić, Éric Struelens, Rick Rickert, Giorgos Maslarinos, Prodromos Dreliozis, Giorgos Bozikas, Roundy Garcνa, Tasos Kantartzis, Christos Liggos, Giannis Sakellariou, Alexis Tsamatos, Ilias Tsopis, Jitim Young, Ryan Robertson, Mikel Nahar, Jan-Hendrick Jagla, Vagelis Morfis, Kostas Tzialas"
2005-06,5th place,Last 16,-,Argyris Pedulakis,"Damir Mulaomerović, Jamel Thomas, Dylan Page, Britton Johnsen, Robert Gulyas, Ruben Boumtje-Boumtje, Stevan Nađfeji, Dimitris Tsaldaris, Tasos Kantartzis, Jovan Koprivica, Giorgos Maslarinos, Evangelos Morfis, Kostas Paschalis, Giannis Sakellariou, Ivan Tomas, Alexis Tsamatos, Ilias Tsopis, Juan Mendez, Christos Liggos, Alkiviadis Pappas"
2006-07,5th place,Last 16,-,"Vagelis Magiras,Giorgos Kalafatakis","Anthony Goldwire, Michalis Pelekanos, Nikos Ekonomou, Mamadou N'Diaye, Andrae Patterson, Malik Dixon, Nikos Argyropoulos, Dragan Ćeranić, Giannis Georgalis, Sotiris Karapostolou, Stevan Nađfeji, Pantelis Papaioakim, Alexandros Petroulas, Damir Rančić, Giannis Sakellariou, Gary Trent, Dubravko Zemljić, Agi Ibeja, Marko Jovanović, Panagiotis Spiliopoulos, Nikos Pappas"
2007-08,6th place,Last 4,ULEB CupRegular Season,Elias Zouros,"Anthony Grundy, Jurica Golemac, Lewis Sims, Giorgos Apostolidis, Nikos Argyropoulos, Mamadou N'Diaye, Đuro Ostojić, Damir Rančić, Vangelis Sklavos, Márton Báder, Milan Dozet, Dimitris Kalaitzidis, Vangelis Karaboulas, Tre Kelley, Pantelis Papaioakim, Alexandros Petroulas, Giannis Sakellariou, Melvin Sanders, Nikos Pappas"
2008-09,6th place,Last 8,EurocupLast 16,Elias Zouros,"Anthony Grundy, Jurica Golemac, Manolis Papamakarios, Giorgos Kalaitzis, Đuro Ostojić, Ivan Radenović, Vladimir Petrović, Nikos Makris, Dimitris Kalazitzidis, Giannis Sakellariou, Alexandros Petroulas, Brad Newley, Stevan Nađfeji, Dimitris Kompodietas, Mustafa Shakur"
2009-10,4th place,Last 8,EurocupSemifinals,Elias Zouros,"Ian Vougioukas, Đuro Ostojić, Efthymios Tsakaleris, Chris Owens, Josh Davis, Markos Kolokas, Devin Smith, Ioannis Georgallis, Alekos Petroulas, Manolis Papamakarios, Konstantinos Charalampidis, Dimitrios Kompodietas, Roderick Blakney, Georgios Kalaitzis, Vasilios Xanthopoulos, Britton Johnsen"
2010-11,12th place,Last 8,EurocupTBD,Thanasis Skourtopoulos,"Torin Francis, Đuro Ostojić, Efthymios Tsakaleris, Steven Smith, Evangelos Sklavos, Markos Kolokas, Joseph Krabbenhoft, Georgios Kalaitzis, Ioannis Karathanasis, Manolis Papamakarios, Samo Udrih, Dimitrios Kompodietas, Maurice Bailey, Vasilios Xanthopoulos, Andre Brown, Damir Rančić, Derrick Byars, Vlado Šćepanović"
