Jamo,Hangul Compatibility,Hangul Jamo Area,Hanyang Private Use,Halfwidth,Noise_Field_1,Noise_Field_2
ᆐ,—,U+1190,U+F840,—,MeNekPkw,HsyfduCq
ㆊ,U+318A,U+1191,U+F841,—,gjAjqpR,sqowNGs
ㆋ,U+318B,U+1192,U+F842,—,hSHkIK,nCNvwY
ㅠㅗ,—,U+D7B8,U+F843,—,BdeWMujJ,IEHYmbwy
ᆓ,—,U+1193,U+F844,—,sjhqUr,bVeIrVM
ㆌ,U+318C,U+1194,U+F845,—,zfInCG,XMCkD
Jamo,Hangul Compatibility,Hangul Jamo Area,Hanyang Private Use,Halfwidth,IPiaA,wNsPTiC
ㅡ,U+3161,U+1173,U+F846,U+FFDA,TQNzyqLe,ukOHnFl
ㅡㅏ,—,U+D7B9,U+F847,—,GZAPMR,yWZibq
ㅡㅓ,—,U+D7BA,U+F848,—,pQliqS,zGmLQgq
