Jamo,Hangul Compatibility,Hangul Jamo Area,Hanyang Private Use,Halfwidth,Dummy_Col_1,Random_Column_2,Filler_3
Jamo,Hangul Compatibility,Hangul Jamo Area,Hanyang Private Use,Halfwidth,ofhUo,ksoGcYdB,TRXNI
ㅓ,U+3153,U+1165,U+F811,U+FFC6,LHDGIfVs,6a43dEra,ODRHTvBr
ᅺ,—,U+117A,U+F812,—,RFpmAhFi,nDupG6,qSzSxJwK
ᅻ,—,U+117B,U+F813,—,nrjvtF,x7ZGvm,YmqeqBC
ᅼ,—,U+117C,U+F814,—,FVOLV,23m1D,PYrbh
ㅔ,U+3154,U+1166,U+F815,U+FFC7,mBysvu,lTcwU6,jFLdQqgi
Jamo,Hangul Compatibility,Hangul Jamo Area,Hanyang Private Use,Halfwidth,oYzBP,G5HRchC,SuhnsnUz
ㅕ,U+3155,U+1167,U+F816,U+FFCA,UNdKcLkm,JEgrpg,UcDQLyzN
ㅕㅑ,—,U+11A5,U+F817,—,lfbmozQ,eZNmbS,DzUHorl
ᅽ,—,U+117D,U+F818,—,vvWaY,k1koHYe,xJZfLO
ᅾ,—,U+117E,U+F819,—,ACfPAIir,fNRWK,UfSRK
