Outcome,No.,Date,Tournament,Surface,Partner,Opponents in the final,Score in the final,Dummy_Col_1,Random_Column_2
Runner-up,11.,1978,"Newport, US",Grass,Bob Giltinan,Tim Gullikson Tom Gullikson,"4–6, 4–6",BiSfUgj,69PdhU
Winner,13.,1978,"Columbus, US",Clay,Bob Giltinan,Marcello Lara Eliot Teltscher,"6–2, 6–3",UMrrIRxS,SDTFqbWZ
Runner-up,12.,1979,"San Jose, Costa Rica",Hard,Anand Amritraj,Ion Ţiriac Guillermo Vilas,"4–6, 6–2, 4–6",FPCMDlD,JqYydp
Runner-up,13.,1979,"Tulsa, US",Hard (i),Tom Gullikson,Francisco González Eliot Teltscher,"7–6, 5–7, 3–6",mOodEvv,YbvLBvn
Runner-up,14.,1979,"Stowe, US",Hard,Anand Amritraj,Mike Cahill Steve Krulevitz,"6–3, 3–6, 4–6",OychtKt,OF68CU3
Runner-up,15.,1979,"Tel Aviv, Israel",Hard,Mike Cahill,Ilie Năstase Tom Okker,"5–7, 4–6",DpWDmeG,mpHMiXeT
Winner,14.,1979,"Tokyo Outdoor, Japan",Clay,Pat Du Pré,Rod Frawley Francisco González,"3–6, 6–1, 6–1",OaupFuE,Wvb6f
Winner,15.,1979,"Adelaide, Australia",Grass,Chris Kachel,John Alexander Phil Dent,"6–7, 7–6, 6–4",aqVjUP,BuxsHaIA
Winner,16.,1980,"Metz, France",Carpet,Gene Mayer,Chris Delaney Kim Warwick,"7–6, 7–5",zEiNwG,iJFl7
Winner,17.,1981,"Adelaide, Australia",Grass,John James,Craig Edwards Eddie Edwards,"6–3, 6–4",FDvxwM,h26iczf7
