Outcome,No.,Date,Tournament,Surface,Partner,Opponents in the final,Score in the final
Winner,5.,1975,"Istanbul, Turkey",Outdoor,Thomaz Koch,Colin Dowdeswell John Feaver,"6–2, 6–2, 6–2"
Winner,6.,1976,"Palm Springs, US",Hard,Sandy Mayer,Raymond Moore Erik Van Dillen,"6–4, 6–7, 7–6"
Winner,7.,1976,"Palma, Spain",Clay,John Andrews,Mark Edmondson John Marks,"2–6, 6–3, 6–2"
Runner-up,8.,1976,"Madrid, Spain",Clay,John Andrews,Carlos Kirmayr Eduardo Mandarino,"6–7, 6–4, 6–8"
Winner,8.,1976,"Florence, Italy",Clay,Carlos Kirmayr,Péter Szőke Balázs Taróczy,"5–7, 7–5, 7–5"
Winner,9.,1977,"Little Rock, US",Carpet,Haroon Rahim,Bob Hewitt Frew McMillan,"6–7, 6–3, 6–3"
Winner,10.,1977,"Denver, US",Carpet,Geoff Masters,Syd Ball Kim Warwick,"6–2, 6–3"
Winner,11.,1977,"South Orange, US",Hard,Wojtek Fibak,Ion Ţiriac Guillermo Vilas,"6–1, 7–5"
Runner-up,9.,1977,"Tokyo Outdoor, Japan",Clay,Chris Kachel,Geoff Masters Kim Warwick,"2–6, 6–7"
Winner,12.,1978,"Little Rock, US",Carpet,Geoff Masters,Tim Gullikson Tom Gullikson,"7–6, 6–3"
Runner-up,10.,1978,"Johannesburg, South Africa",Hard,Geoff Masters,Bob Hewitt Frew McMillan,"5–7, 6–7"
