Location,Frequency,Call sign,Network,Call sign meaning,Filler_1
Beach,91.9,K220FI (KDPR),News and Classical,,PvrSEN
Bismarck,90.5,KCND,News and Classical,Capital of North Dakota,QThJt
Bowman,91.9,K220FJ (KDPR),News and Classical,,nqLzaNsp
Crosby,91.9,K220FF (KPPW),News and Classical,,VkzNmUq
Devils Lake,91.7,KPPD,News and Classical,Prairie Public Radio Devils Lake,BiXyW
Dickinson,89.9,KDPR,News and Classical,Dickinson Public Radio,SdGCiIU
Fargo,91.9,KDSU,"Mixed News and Classical & Roots, Rock, and Jazz",North Dakota State University,WYcFfWpZ
Grand Forks,89.3,KUND-FM,News and Classical,University of North Dakota,YCEPkuS
Grand Forks,90.7,KFJM,"Roots, Rock, and Jazz",Folk and Jazz Music,wfVpzJk
Jamestown,91.5,KPRJ,News and Classical,Public Radio Jamestown,VPEvdv
