Tie no,Home team,Score,Away team,Date,Extra_Data_1,Irrelevant_2,Noise_Field_3
11,Northampton Town,2–2,Stoke,28 January 1922,474,NJwqBk,fFTvQ
Replay,Stoke,3–0,Northampton Town,1 February 1922,32,QZMJhAXC,sOTPqO
12,Brighton & Hove Albion,0–0,Huddersfield Town,28 January 1922,630,40Eon,SikaKyy
Replay,Huddersfield Town,2–0,Brighton & Hove Albion,1 February 1922,471,McG73,xXtfMY
13,Bradford City,1–1,Notts County,28 January 1922,456,PIdaNwoi,gFqjYTP
Replay,Notts County,0–0,Bradford City,1 February 1922,939,rHoMQPK,CGRXY
Replay,Notts County,1–0,Bradford City,6 February 1922,590,FfIA7t,lsAxDbh
14,Crystal Palace,0–0,Millwall,28 January 1922,717,hQKKiXW,oiEZji
Replay,Millwall,2–0,Crystal Palace,1 February 1922,718,xYJA3Tqp,dycOVO
15,Southend United,0–1,Swansea Town,28 January 1922,186,1bypj,tkFsYbs
16,Bradford Park Avenue,2–3,Arsenal,28 January 1922,905,yJYGcRoi,bqKQR
