Rank,Nation,Gold,Silver,Bronze,Total,Dummy_Col_1,Dummy_Col_2,Unused_3
1,United States,12,13,6,31,nGGOY,jECKorh,
2,Russia,10,5,6,21,qsQvq,yVGkV,
3,Australia,8,12,6,26,ZVidi,gscHtLn,
4,China,7,4,8,19,txyIVmMy,empDeT,
5,Germany,5,6,5,16,SJuYCci,NwKHvXFy,
6,Japan,3,3,3,9,RPmUQqBB,OFDXpAQ,
7,Netherlands,3,2,2,7,wjVPzwkA,YcubO,
8,Great Britain,2,3,3,8,ORHoU,xeqIE,
9,Ukraine,2,3,2,7,kRLLa,GZGOdPIG,
10,Italy,2,2,1,5,tCFaqb,XvdJSJeb,
11,Canada,2,0,1,3,NznyUVek,NDmSoa,
12,Hungary,1,4,1,6,uwySKAtq,vsUcy,
13,Spain,1,2,3,6,yUrfkkZ,ethyxVZ,
14,Poland,1,1,0,2,vbAJED,PScOuhYw,
15,France,1,0,2,3,fFNubUex,VLbGvPF,
