District,Incumbent,Party,Firstelected,Result,Candidates,Random_Column_1
Pennsylvania 24,J. Buell Snyder,Democratic,1932,Re-elected,J. Buell Snyder (D) 57.3%Paul H. Griffith (R) 42.0%Charles H. Musgrove (S) 0.6%Victor Dellarose (C) 0.2%,rK8XntD7
Pennsylvania 25,Charles I. Faddis,Democratic,1932,Re-elected,Charles I. Faddis (D) 59.4%Albert S. Sickman (R) 38.6%Huber Ferguson (Proh) 1.7%Fred Siders (C) 0.4%,Q3zfRLOy
Pennsylvania 26,J. Howard Swick,Republican,1926,Lost re-electionDemocratic gain,Charles R. Eckert (D) 59.1%J. Howard Swick (R) 40.0%Charles Baldwin (S) 0.9%,CvBjA
Pennsylvania 27,Nathan Leroy Strong,Republican,1916,Lost re-electionDemocratic gain,Joseph Anthony Gray (D) 54.4%Nathan Leroy Strong (R) 44.5%Finley S. Goldthwaite (S) 1.1%,QCoXnz
Pennsylvania 28,William M. Berlin,Democratic,1932,Re-elected,William M. Berlin (D) 92.5%S. W. Bierer (Proh) 3.8%Morris Mallinger (S) 3.8%,tmdcf
Pennsylvania 29,Charles N. Crosby,Democratic,1932,Re-elected,Charles N. Crosby (D) 52.5%Will Rose (R) 45.6%Ralph W. Tillotson (S) 0.9%Frank H. Selden (Proh) 0.9%Leo Mittelmeier (C) 0.2%,UDuJdB
Pennsylvania 30,J. Twing Brooks,Democratic,1932,Re-elected,J. Twing Brooks (D) 53.4%Edmund Frederick Erk (R) 45.0%Sarah Z. Limbach (S) 1.1%William G. Hohman (Proh) 0.5%,SV36vH
Pennsylvania 31,Melville Clyde Kelly,Republican,1916,Lost re-electionDemocratic gain,James L. Quinn (D) 52.4%Melville Clyde Kelly (R) 45.6%William Adams (S) 1.3%Laura Jane Grubbs (C) 0.7%,79iOY
Pennsylvania 32,Michael J. Muldowney,Republican,1932,Lost re-electionDemocratic gain,"Theodore L. Moritz (D) 43.6%Michael J. Muldowney (R) 34.4%Alexander Schullman (I) 15.2%Anne E. Felix (Honest Elections) 5.2%James H. Hueston, Sr. (S) 1.0%Ben Careathers (C) 0.6%",59TvX
Pennsylvania 33,Henry Ellenbogen,Democratic,1932,Re-elected,Henry Ellenbogen (D) 95.3%Loudoun L. Campbell (I) 2.1%Frank A. Van Essen (S) 1.9%George Harger (Proh) 0.8%,uGYMBWz
Pennsylvania 34,Matthew A. Dunn,Democratic,1932,Re-elected,"Matthew A. Dunn (D) 89.2%Guy E. Campbell (R) 6.8%John W. Slayton, Sr. (S) 1.8%Charles R. Murray (Ind Cit) 1.4%Louis C. Clark (Proh) 0.8%",ALBSgk9z
