District,Incumbent,Party,Firstelected,Result,Candidates
Pennsylvania 13,George F. Brumm,Republican,1928,Died in officeDemocratic gain,James H. Gildea (D) 50.1%David W. Bechtel (R) 45.7%Susan I. Brumm (Equal Rights) 2.7%Leo Sitko (S) 1.3%Edith L. Reed (Proh) 0.3%
Pennsylvania 14,William Emanuel Richardson,Democratic,1932,Re-elected,William Emanuel Richardson (D) 63.3%Raymond S. Hofses (S) 32.2%Robert S. MacDonough (I) 4.5%
Pennsylvania 15,Louis T. McFadden,Republican,1914,Lost re-electionDemocratic gain,Charles E. Dietrich (D) 50.1%Louis T. McFadden (R) 49.3%Henry L. Springer (S) 0.5%
Pennsylvania 16,Robert F. Rich,Republican,1930,Re-elected,Robert F. Rich (R) 53.0%Paul A. Rothfuss (D) 44.4%George L. Reeder (Peoples) 1.7%Robert I. Fisher (S) 0.9%
Pennsylvania 17,J. William Ditter,Republican,1932,Re-elected,J. William Ditter (R) 56.2%Howard J. Dager (D) 42.0%George W. Bause (S) 1.3%Raymond J. Keisen (Proh) 0.5%
Pennsylvania 18,Benjamin K. Focht,Republican,1932,Re-elected,Benjamin K. Focht (R) 55.6%B. Stiles Duncan (D) 44.4%
Pennsylvania 19,Isaac Hoffer Doutrich,Republican,1926,Re-elected,Isaac Hoffer Doutrich (R) 55.1%Forrest Mercer (D) 42.9%Irving J. Noon (S) 0.9%Ida G. Kast (Proh) 0.9%Albert W. Penner (I) 0.1%
Pennsylvania 20,Thomas Cunningham Cochran,Republican,1926,RetiredDemocratic gain,Denis J. Driscoll (D) 52.7%Leon H. Gavin (R) 43.7%Robert G. Burnham (Proh) 2.8%Robert S. Stewart (S) 0.8%
Pennsylvania 21,Francis E. Walter,Democratic,1932,Re-elected,Francis E. Walter (D) 58.7%T. Fred Woodley (R) 40.0%Simon R. Hartzell (S) 1.3%
Pennsylvania 22,Harry L. Haines,Democratic,1930,Re-elected,Harry L. Haines (D) 54.6%Emanuel C. Beck (R) 43.7%William P. Gemmil (Proh) 1.0%Harry Boeckel (S) 0.8%
Pennsylvania 23,J. Banks Kurtz,Republican,1922,Lost re-electionDemocratic gain,Don Gingery (D) 52.4%J. Banks Kurtz (R) 44.2%George W. Hartman (S) 3.4%
