Date,Time,Opponent,Site,TV,Result,Attendance,Record,Dummy_Col_1,Random_Column_2,Noise_Field_3
01/30/2014,8:00 PM,at Grand Canyon,"GCU Arena • Phoenix, AZ",Cox7,L 53–84,581,3–18 (0–8),wTihcE,HDtN98F,yLdQfzVm
02/08/2014,2:00 PM,UMKC,"Emil and Patricia Jones Convocation Center • Chicago, IL",CSU TV,L 52–84,201,3–19 (0–9),jNLAmUQ,PpW8Ra7,bTihz
02/13/2014,7:00 PM,Texas–Pan American,"Emil and Patricia Jones Convocation Center • Chicago, IL",CSU TV,L 52–75,207,3–20 (0–10),uClJW,R4Lv6,rnkwTQ
02/15/2014,2:00 PM,New Mexico State,"Emil and Patricia Jones Convocation Center • Chicago, IL",CSU TV,L 64–74,230,3–21 (0–11),vrzVcL,wmtLCjJ,anXdQoSd
02/20/2014,8:00 PM,at Utah Valley,"UCCU Center • Orem, UT",,L 62–84,191,3–22 (0–12),GgMYlP,PVzCdkSg,KvulNa
02/22/204,3:00 PM,at Cal State Bakersfield,"Icardo Center • Bakersfield, CA",,L 58–99,213,3–23 (0–13),RcmNwd,8RkeFa6,PfgTvV
03/01/2014,2:00 PM,Grand Canyon,"Emil and Patricia Jones Convocation Center • Chicago, IL",CSU TV,,,,zdapYP,OrbQqLh,LVxEAvY
03/06/2014,8:00 PM,at Idaho,"Cowan Spectrum • Moscow, ID",,,,,VCmHVgC,AzltHj,gaJGvkT
03/08/2014,6:00 PM,at Seattle,"Connolly Center • Seattle, WA",,,,,HhTMyxOD,26K4vJ,XTNDs
03/12-03/15/2014,TBA,vs.,"Orleans Arena • Las Vegas, NV",,,,,odxsiTov,pwWBb1Qz,PMdedc
