Date,Time,Opponent,Site,TV,Result,Attendance,Record,Random_Column_1,Extra_Data_2
12/29/2013*,2:00 PM,Wright State,"Emil and Patricia Jones Convocation Center • Chicago, IL",CSU TV,L 62–84,235,2–9,N7ugwVzC,388
12/31/2013*,2:00 PM,Loyola,"Emil and Patricia Jones Convocation Center • Chicago, IL",CSU TV,L 63–77,316,2–10,pZhNfb,641
01/02/2014,7:00 PM,Seattle,"Emil and Patricia Jones Convocation Center • Chicago, IL",CSU TV,L 58–85,202,2–11 (0–1),kFAYgosy,316
01/04/2014,2:00 PM,Idaho,"Emil and Patricia Jones Convocation Center • Chicago, IL",CSU TV,L 42–92,200,2–12 (0–2),mTsYTE,561
01/08/2014*,7:00 PM,Indiana Northwest,"Emil and Patricia Jones Convocation Center • Chicago, IL",CSU TV,W 68–50,212,3–12,zMoY7fz,266
01/11/2014,2:00 PM,at UMKC,"Municipal Auditorium • Kansas City, MO",,L 60–83,380,3–13 (0–3),G040vWe,270
01/16/2014,7:00 PM,at New Mexico State,"Pan American Center • Las Cruces, NM",,L 61–82,942,3–14 (0–4),cHI2c,764
01/18/2014,7:00 PM,at Texas–Pan American,"UTPA Fieldhouse • Edinburg, TX",,L 44–66,382,3–15 (0–5),6lEJC,927
01/23/2014,7:00 PM,Cal State Bakersfield,"Emil and Patricia Jones Convocation Center • Chicago, IL",CSU TV,L 59–90,263,3–16 (0–6),iSyU4hZl,171
01/25/2014,2:00 PM,Utah Valley,"Emil and Patricia Jones Convocation Center • Chicago, IL",CSU TV,L 46–72,211,3–17 (0–7),w0sbjUD,713
