Year,Species,Height,Location grown,State,Notes
1972,Balsam Fir,50 feet (15 m),Tennessee National Forest,Pennsylvania,
1971,Black Spruce,45 feet (14 m),White Mountain National Forest,New Hampshire,
1970,Norway Spruce,40 feet (12 m),Monongahela National Forest,West Virginia,
1969,White Pine,40 feet (12 m),"Westminster, Maryland",Maryland,
1968,White Pine,30 feet (9.1 m),"Finksburg, Maryland",Maryland,Made from two different trees
1967,Douglas Fir,24 feet (7.3 m),"Birdsboro, Pennsylvania",Pennsylvania,"In 1963, John W. McCormack suggested that a Christmas Tree should be placed on the grounds. A live tree was purchased for $700 from Buddies Nurseries and planted on the West Front Lawn of the Capitol. This tree was decorated each year through 1967 until it was damaged by a wind storm in the Spring of 1967."
1966,Douglas Fir,24 feet (7.3 m),"Birdsboro, Pennsylvania",Pennsylvania,"In 1963, John W. McCormack suggested that a Christmas Tree should be placed on the grounds. A live tree was purchased for $700 from Buddies Nurseries and planted on the West Front Lawn of the Capitol. This tree was decorated each year through 1967 until it was damaged by a wind storm in the Spring of 1967."
1965,Douglas Fir,24 feet (7.3 m),"Birdsboro, Pennsylvania",Pennsylvania,"In 1963, John W. McCormack suggested that a Christmas Tree should be placed on the grounds. A live tree was purchased for $700 from Buddies Nurseries and planted on the West Front Lawn of the Capitol. This tree was decorated each year through 1967 until it was damaged by a wind storm in the Spring of 1967."
1964,Douglas Fir,24 feet (7.3 m),"Birdsboro, Pennsylvania",Pennsylvania,"In 1963, John W. McCormack suggested that a Christmas Tree should be placed on the grounds. A live tree was purchased for $700 from Buddies Nurseries and planted on the West Front Lawn of the Capitol. This tree was decorated each year through 1967 until it was damaged by a wind storm in the Spring of 1967."
1963,Douglas Fir,24 feet (7.3 m),"Birdsboro, Pennsylvania",Pennsylvania,"In 1963, John W. McCormack suggested that a Christmas Tree should be placed on the grounds. A live tree was purchased for $700 from Buddies Nurseries and planted on the West Front Lawn of the Capitol. This tree was decorated each year through 1967 until it was damaged by a wind storm in the Spring of 1967."
