Year,Species,Height,Location grown,State,Notes
2002,Douglas Fir,70 feet (21 m),Umpqua National Forest,Oregon,"The tree was lit by Dennis Hastert on December 12 in a ceremony including performances by the United States Navy Band, the Umpqua Singers from Umpqua Community College, and the Congressional Chorus. Decorated with 6,000 ornaments crafted and donated by the people of Oregon, the three was lit with 10,000 lights. Delivery of the tree from Umpqua National Forest took 22 days, with the tree arriving at the Capitol on December 2. During the ceremony, Hastert was presented with a tree ornament, in the likeness of the Capitol Dome and made from marble from the original east front steps of the House wing, by Ronald A. Sarasin, president of the U.S. Capitol Historical Society."
2001,White Spruce,72 feet (22 m),Ottawa National Forest,Michigan,Known as \The Tree of Hope
2000,Colorado Blue Spruce,65 feet (20 m),Pike National Forest,Colorado,"Selected by Architect of the Capitol landscape architect Matthew Evans in the summer of 2000, the tree was transported to the Capitol on a 64 foot flatbed truck driven by Colorado Senator Ben Nighthorse Campbell and decorated to look like a Conestoga wagon; the tree arrived at the Capitol around 10 am on December 4. The tree was lit by Dennis Hastert at 5:30 pm on December 12 in a ceremony including performances by the Summit Choral Society, a section of the United States Air Force Band, and the Congressional Chorus. Some 6,400 ornaments made by school children from all of Colorado's 64 districts adorned the tree along with 10,000 blue, white, and amber lights. The tree remained lit from 5 pm to midnight each night through January 2, 2001."
1999,White Spruce,60 feet (18 m),Nicolet National Forest,Wisconsin,"After being selected during the summer of 1999 from twenty candidates by Architect of the Capitol landscape architect Matthew Evans, the tree was shipped by train to the Capitol and arrived on November 29. Decorated with some 4,000 ornaments crafted and donated by people from Wisconsin, and 10,000 blue, clear, and amber lights, the tree was lit by Dennis Hastert at 5 pm on December 9. The lighting ceremony included performances by the Congressional Chorus, the United States Army Band, and the Wisconsin Youth Leadership Academy YMCA Boy's Choir. First tree named \Holiday Tree\"" instead of \""Christmas Tree\""[citation needed]"""
1998,Fraser Fir,50 feet (15 m),Pisgah National Forest,North Carolina,"Lit by Newt Gingrich at 5:30 pm on December 8 in a ceremony including performances by the Congressional Chorus, and the New Day Singers from Asheville, North Carolina. The tree was decorated with some 4,000 ornaments made by North Carolina school children along with 10,000 blue, clear, and amber lights. The tree remained lit from 5 pm to midnight each night through January 2, 1999."
1997,Black Hills Spruce,63 feet (19 m),Black Hills National Forest,South Dakota,
1996,Engelmann Spruce,75 feet (23 m),Manti La Sal National Forest,Utah,
1995,Douglas Fir,60 feet (18 m),Plumas National Forest,California,
1994,Balsam Fir,58 feet (18 m),Green Mountain National Forest,Vermont,
1993,White Fir,65 feet (20 m),San Bernardino National Forest,California,
