Year,Species,Height,Location grown,State,Notes
1982,Balsam Fir,50 feet (15 m),Riley Bostwich Wildlife Management Area,Vermont,
1981,White Spruce,50 feet (15 m),Hiawatha National Forest,Michigan,
1980,White Spruce,48 feet (15 m),Green Mountain National Forest,Vermont,
1979,White Spruce,52 feet (16 m),Nicolet National Forest,Wisconsin,
1978,Norway Spruce,60 feet (18 m),Savage River State Forest,Maryland,
1977,White Spruce,52 feet (16 m),Nemadji State Forest,Minnesota,
1976,Red Spruce,41 feet (12 m),Monongahela National Forest,West Virginia,
1975,Balsam Fir,41 feet (12 m),Ottawa National Forest,Michigan,
1974,Fraser Fir,41 feet (12 m),Pisgah National Forest,North Carolina,
1973,White Spruce,51 feet (16 m),Allegheny National Forest,Pennsylvania,
