Year,Species,Height,Location grown,State,Notes
1992,White Spruce,62 feet (19 m),Chippewa National Forest,Minnesota,
1991,Blue Spruce,60 feet (18 m),Carson National Forest,New Mexico,
1990,Engelmann Spruce,65 feet (20 m),Routt National Forest,Colorado,
1989,Engelmann Spruce,89 feet (27 m),Kootenai National Forest,Montana,
1988,Balsam Fir,50 feet (15 m),Manistee National Forest,Michigan,
1987,Norway Spruce,60 feet (18 m),Wayne National Forest,Ohio,
1986,Shasta Red Fir,54 feet (16 m),Klamath National Forest,California,
1985,White Spruce,56 feet (17 m),Ottawa National Forest,Michigan,
1984,White Spruce,58 feet (18 m),Superior National Forest,Minnesota,
1983,White Spruce,52 feet (16 m),Chequamegon National Forest,Wisconsin,
