Date,Time,Opponent,Site,TV,Result,Attendance,Record
11/09/2012*,8:30 PM,vs. Houston Baptist,"Stan Sheriff Center • Honolulu, HI(Rainbow Classic)",,L 68–72,"5,674",0–1
11/11/2012*,10:00 PM,at Hawaiʻi,"Stan Sheriff Center • Honolulu, HI(Rainbow Classic)",,L 54–81,"5,339",0–2
11/12/2012*,11:00 PM,vs. Maryland–Eastern Shore,"Stan Sheriff Center • Honolulu, HI(Rainbow Classic)",,W 62–52,"5,388",1–2
11/21/2012*,9:30 PM,at #25 San Diego State,"Viejas Arena • San Diego, CA",FSSD,L 43–79,"12,414",1–3
11/24/2012*,8:30 PM,at Washington State,"Beasley Coliseum • Pullman, WA",P12N,L 38–66,"4,571",1–4
11/28/2012*,7:00 PM,at Arizona State,"Wells Fargo Arena • Tempe, AZ",P12N,L 54–67,"4,545",1–5
12/01/2012*,9:00 PM,at Oregon,"Matthew Knight Arena • Eugene, OR",P12N,L 59–80,"5,281",1–6
12/05/2012*,7:00 PM,at #19 Michigan State,"Breslin Center • East Lansing, MI",BTN,L 44–76,"14,797",1–7
12/08/2012*,3:00 PM,at Air Force,"Clune Arena • Colorado Springs, CO",,L 49–65,"1,553",1–8
12/18/2012*,7:00 PM,at Akron,"James A. Rhodes Arena • Akron, OH",,L 46–76,"2,639",1–9
