Date,Time,Opponent,Site,TV,Result,Attendance,Record
01/28/2013,7:30 PM,at Jackson State,"Williams Assembly Center • Jackson, MS",,L 67–82,"1,055",8–13 (7–2)
02/02/2013,5:40 PM,at Alabama State,"Dunn–Oliver Acadome • Montgomery, AL",,W 81–77,"2,256",9–13 (8–2)
02/04/2013,8:00 PM,at Alabama A&M,"Elmore Gymnasium • Normal, AL",,W 76–67,808,10–13 (9–2)
02/09/2013,7:30 PM,Southern,"K. L. Johnson Complex • Pine Bluff, AR",,W 55–52,"3,462",11–13 (10–2)
02/11/2013,8:00 PM,Alcorn State,"K. L. Johnson Complex • Pine Bluff, AR",ESPNU,W 80–52,"4,355",12–13 (11–2)
02/16/2013,1:30 PM,at Texas Southern,"Health and Physical Education Arena • Houston, TX",,L 69–75,"1,824",12–14 (11–3)
02/18/2013,8:00 PM,at Prairie View A&M,"William Nicks Building • Prairie View, TX",,W 76–47,"1,412",13–14 (12–3)
02/23/2013,7:30 PM,Grambling State,"K. L. Johnson Complex • Pine Bluff, AR",,W 61–45,"5,047",14–14 (13–3)
02/25/2013,8:20 PM,Jackson State,"K. L. Johnson Complex • Pine Bluff, AR",,W 73–72,"3,026",15–14 (14–3)
02/28/2013,7:30 PM,at Mississippi Valley State,"Harrison HPER Complex • Itta Bena, MS",,W 78–70 OT,"2,073",16–14 (15–3)
