,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Fertility rates
2003,41 827,441 881,384 828,57 053,10.5,9.2,1.4,"1,31"
2004,42 547,454 591,371 934,82 657,10.6,8.7,1.9,"1,33"
2005,43 296,466 371,387 355,79 016,10.7,8.9,1.8,"1,35"
2006,44 009,482 957,371 478,111 479,10.9,8.4,2.5,"1,36"
2007,44 784,492 527,385 361,107 166,10.9,8.5,2.4,"1,40"
2008,45 668,518 503,384 198,134 305,11.4,8.4,3.0,"1,46"
2009,46 239,493 717,383 209,110 508,10.7,8.2,2.5,"1,39"
2010,46 486,485 252,380 234,105 218,10.5,8.2,2.3,1.38
2011,46 667,470 553,386 017,84 536,10.2,8.4,1.8,1.34
2012,46 818,454 648,402 950,51 698,9.7,8.6,1.1,1.32
2013,,,,,,,,1.29
