,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Fertility rates
1900,18 520,627 848,536 716,91 132,33.9,29.0,4.9,
1901,18 610,650 649,517 575,133 074,35.0,27.8,7.1,
1902,18 720,666 687,488 289,178 398,35.6,26.1,9.6,
1903,18 810,685 265,470 387,214 878,36.4,25.0,11.4,
1904,18 980,649 878,486 889,162 989,34.2,25.7,8.6,
1905,19 110,670 651,491 369,179 282,35.1,25.7,9.4,
1906,19 250,650 385,499 018,151 367,33.8,25.9,7.8,
1907,19 380,646 371,472 007,174 364,33.3,24.4,9.0,
1908,19 530,658 008,460 946,197 062,33.7,23.6,10.1,
1909,19 670,650 498,466 648,183 850,33.1,23.7,9.3,
1910,19 770,646 975,456 158,190 817,32.7,23.1,9.7,
1911,19 950,628 443,466 525,161 918,31.5,23.4,8.1,
