,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Fertility rates
1981,37 741,533 008,293 386,239 622,14.1,7.8,6.3,"2,04"
1982,37 942,515 706,286 655,229 051,13.6,7.6,6.0,"1,94"
1983,38 122,485 352,302 569,182 783,12.7,7.9,4.8,"1,80"
1984,38 279,473 281,299 409,173 872,12.4,7.8,4.5,"1,73"
1985,38 419,456 298,312 532,143 766,11.9,8.1,3.7,"1,64"
1986,38 536,438 750,310 413,128 337,11.4,8.1,3.3,"1,56"
1987,38 631,426 782,310 073,116 709,11.0,8.0,3.0,"1,50"
1988,38 716,418 919,319 437,99 482,10.8,8.3,2.6,"1,45"
1989,38 792,408 434,324 796,83 638,10.5,8.4,2.2,"1,40"
1990,38 851,401 425,333 142,68 283,10.3,8.6,1.8,"1,36"
1991,38 940,395 989,337 691,58 298,10.2,8.7,1.5,"1,33"
