,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Fertility rates,Unused_1,Dummy_Col_2
1970,33 779,663 667,286 067,377 600,19.6,8.5,11.2,"2,88",,uifMKLib
1971,34 216,672 092,308 516,363 576,19.7,9.0,10.6,"2,88",,arVWCPQE
1972,34 572,672 405,285 508,386 897,19.5,8.3,11.2,"2,86",,vrvBjPO
1973,34 921,672 963,301 803,371 160,19.3,8.7,10.7,"2,84",,gNtHw
1974,35 288,688 711,300 403,388 308,19.6,8.5,11.0,"2,89",,UkdWDtna
1975,35 688,669 378,298 192,371 186,18.8,8.4,10.5,"2,80",,ZNEVf
1976,36 118,677 456,299 007,378 449,18.9,8.3,10.5,"2,79",,iRIwzcGx
1977,36 564,656 357,294 324,362 033,18.1,8.1,10.0,"2,65",,KbieIdPF
1978,36 741,636 892,296 781,340 111,17.3,8.1,9.2,"2,53",,qXpABl
1979,37 289,601 992,291 213,310 779,16.2,7.8,8.4,"2,35",,aAPHY
1980,37 527,571 018,289 344,281 674,15.2,7.7,7.5,"2,19",,OVVpgq
