,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Fertility rates
1936,24 810,617 220,417 108,200 112,24.9,16.8,8.1,"3,18"
1937,25 043,568 977,475 310,93 667,22.7,19.0,3.7,"2,89"
1938,25 279,508 726,487 546,21 180,20.1,19.3,0.8,"2,56"
1939,25 517,422 345,472 611,-50 266,16.6,18.5,-2.0,"2,12"
1940,25 757,631 285,428 416,202 869,24.5,16.6,7.9,"3,09"
1941,25 999,511 157,487 748,23 409,19.7,18.8,0.9,"2,47"
1942,26 244,530 845,387 844,143 001,20.2,14.8,5.4,"2,53"
1943,26 491,606 971,352 587,254 384,22.9,13.3,9.6,"2,88"
1944,26 620,602 091,349 114,253 796,22.6,13.1,9.5,"2,84"
1945,26 770,621 558,330 581,290 977,23.2,12.3,10.9,"2,91"
1946,27 030,585 381,353 371,232 010,21.7,13.1,8.6,"2,70"
1947,27 150,588 732,330 341,258 391,21.7,12.2,9.5,"2,67"
