,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Fertility rates
1959,30 195,654 474,269 591,384 883,21.7,8.9,12.7,"2,79"
1960,30 455,663 375,268 941,394 434,21.8,8.8,13.0,"2,77"
1961,30 744,654 616,263 441,391 175,21.3,8.6,12.7,"2,75"
1962,31 067,658 816,278 575,380 241,21.2,9.0,12.2,"2,79"
1963,31 393,671 520,282 460,389 060,21.4,9.0,12.4,"2,87"
1964,31 723,697 697,273 955,423 742,22.0,8.6,13.4,"3,01"
1965,32 056,676 361,274 271,402 090,21.1,8.6,12.5,"2,94"
1966,32 394,669 919,276 173,393 746,20.7,8.5,12.2,"2,93"
1967,32 734,680 125,280 494,399 631,20.8,8.6,12.2,"2,98"
1968,33 079,667 311,282 628,384 683,20.2,8.5,11.6,"2,92"
1969,33 427,666 568,303 402,363 166,19.9,9.1,10.9,"2,91"
