,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Fertility rates
1948,27 593,642 041,305 310,336 731,23.3,11.1,12.2,"2,88"
1949,27 811,601 759,321 541,280 218,21.6,11.6,10.1,"2,68"
1950,28 009,565 378,305 934,259 444,20.2,10.9,9.3,"2,48"
1951,28 236,567 474,327 236,240 238,20.1,11.6,8.5,"2,47"
1952,28 474,593 019,276 735,316 284,20.8,9.7,11.1,"2,56"
1953,28 713,589 188,278 522,310 666,20.5,9.7,10.8,"2,55"
1954,28 955,577 886,264 668,313 218,20.0,9.1,10.8,"2,50"
1955,29 199,598 970,274 188,324 782,20.5,9.4,11.1,"2,58"
1956,29 445,608 121,290 410,317 711,20.7,9.9,10.8,"2,61"
1957,29 693,646 784,293 502,353 282,21.8,9.9,11.9,"2,77"
1958,29 943,653 216,260 683,392 533,21.8,8.7,13.1,"2,80"
