,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Fertility rates
1912,20 040,637 860,426 297,211 563,31.8,21.3,10.6,
1913,20 170,617 850,449 349,168 501,30.6,22.3,8.4,
1914,20 310,608 207,450 340,157 867,29.9,22.2,7.8,
1915,20 430,631 462,452 479,178 983,30.9,22.1,8.8,
1916,20 610,599 011,441 673,157 338,29.1,21.4,7.6,
1917,20 740,602 139,465 722,136 417,29.0,22.5,6.6,
1918,20 910,612 637,695 758,-83 121,29.3,33.3,-4.0,
1919,21 000,585 963,482 752,103 211,27.9,23.0,4.9,
1920,21 130,623 339,494 540,128 799,29.5,23.4,6.1,
1921,21 270,648 892,455 469,193 423,30.5,21.4,9.1,
1922,21 510,656 093,441 330,214 763,30.5,20.5,10.0,"4,02"
1923,21 740,662 576,449 683,212 893,30.5,20.7,9.8,"4,02"
