,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Fertility rates,Irrelevant_1,Filler_2
1924,21 990,653 085,430 590,222 495,29.7,19.6,10.1,"3,92",7HO3s5,ZWUkZOA
1925,22 160,644 741,432 400,212 341,29.1,19.5,9.6,"3,82",SlO10Wx,JpWvOftB
1926,22 400,663 401,420 838,242 563,29.6,18.8,10.8,"3,87",p8yCePYp,QIzRuPK
1927,22 610,636 028,419 816,216 212,28.1,18.6,9.6,"3,70",J5L6yCwQ,oIPlgQ
1928,22 860,666 240,413 002,253 238,29.1,18.1,11.1,"3,80",qLyoxQR,LEvAT
1929,23 120,653 668,407 486,246 182,28.3,17.6,10.7,"3,69",iMMzUWU1,iVyYHDCS
1930,23 340,660 860,394 488,266 372,28.3,16.9,11.4,"3,68",SoyzfP5,vxxBFupJ
1931,23 510,649 276,408 977,240 299,27.6,17.4,10.2,"3,58",UVYWtn,BdtplBIr
1932,23 897,670 670,388 900,281 770,28.3,16.5,11.8,"3,64",cL4PHD,YKSZPS
1933,24 122,667 866,394 750,273 116,27.9,16.5,11.4,"3,59",De8wGX,uYDWRtEm
1934,24 349,641 889,392 793,249 096,26.4,16.1,10.2,"3,38",zvTAB,phmnM
1935,24 578,636 725,388 757,247 968,25.9,15.8,10.1,"3,31",3zFoBZ,UsxQL
