,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Fertility rates
1992,39 068,396 747,331 515,65 232,10.2,8.5,1.7,"1,32"
1993,39 190,385 786,339 661,46 125,9.8,8.7,1.2,"1,26"
1994,39 295,370 148,338 242,31 906,9.4,8.6,0.8,"1,21"
1995,39 387,363 469,346 227,17 242,9.2,8.8,0.4,"1,18"
1996,39 478,362 626,351 449,11 177,9.2,8.9,0.3,"1,17"
1997,39 582,369 035,349 521,19 514,9.3,8.8,0.5,"1,19"
1998,39 721,365 193,360 511,4 682,9.2,9.1,0.1,"1,15"
1999,39 927,380 130,371 102,9 028,9.5,9.3,0.2,"1,20"
2000,40 264,397 632,360 391,37 241,9.9,9.0,0.9,"1,23"
2001,40 476,406 380,360 131,46 249,10.0,8.8,1.1,"1,24"
2002,41 035,418 846,368 618,50 228,10.1,8.9,1.2,"1,26"
