Edition,Year,Men's winner,Time (h:m:s),Women's winner,Time (h:m:s)
15th,1999,Zablon Mokaya (KEN),2:22:54,Lyubov Fyodorova (RUS),1:29:49
16th,2000,Fedor Ryzhov (RUS),2:25:17,Margaret Ngotho (KEN),1:18:10
17th,2002,Ambrose Makau (KEN),2:23:20,Natalya Volgina (RUS),1:15:52
18th,2003,Robert Kipyego (KEN),2:16:36,Masila Ndunge (KEN),1:13:49
19th,2004,Douglas Gwandaru (KEN),2:21:22,Jane Muia (KEN),1:11:59
20th,2005,Josephat Ndeti (KEN),2:19:35,Nailiya Yulamanova (RUS),1:15:05
21st,2006,Said Regragui (SWE),2:18:23,Hellen Musyoka (KEN),1:13:20
22nd,2007,Philip Makau Muia (KEN),2:17:32,Roman Gebregessese (ETH),1:11:30.4
23rd,2008,Nelson Kirwa Rotich (KEN),2:17:45,Caroline Kilel (KEN),1:10:17
24th,2009,Augustine Rono Sembri (KEN),2:13:05,Agnes Katunga Mutune (KEN),1:10:30
25th,2010,Gudeta Gemechu Biratu (ETH),2:13:20,Birzaf Gebre Tekele (ETH),2:38:41
26th,2011,Teferi Regasa (ETH),2:16:57,Pauline Mutwa Thitu (KEN),1:12:29
27th,2012,Luka Kipkemoi Chelimo (KEN),2:13:03,Pauline Kavere Kamulu (KEN),1:08:37
