Team,Year,Regular SeasonWon,Regular SeasonLost,Regular SeasonTies,Regular SeasonWin %,Regular SeasonFinish,Post SeasonWon,Post SeasonLost,Post SeasonWin %,Post SeasonResult,Random_Column_1,Filler_2,Extra_Data_3
NYG,1994,9,7,0,.563,2nd in NFC East,-,-,-,-,Ic6BPQQ,AiUtOV,408
NYG,1995,5,11,0,.313,4th in NFC East,-,-,-,-,au0iWf,DosRHrHw,716
NYG,1996,6,10,0,.375,5th in NFC East,-,-,-,-,b47dQ4Yd,hovJUUHP,437
NYG Total,NYG Total,31,33,0,.484,,1,1,.500,,ZF89X7,SIvpXhm,854
ATL,1997,7,9,0,.438,2nd in NFC West,-,-,-,-,qt7QC3,SFuAdDda,899
ATL,1998,14,2,0,.875,1st in NFC West,2,1,.667,Lost to Denver Broncos in Super Bowl XXXIII.,9l8aGNf,FYjKf,787
ATL,1999,5,11,0,.313,3rd in NFC West,-,-,-,-,cPGlsr,xXSlZ,462
ATL,2000,4,12,0,.250,5th in NFC West,-,-,-,-,vqVq5Pt,YUJXHf,829
ATL,2001,7,9,0,.438,3rd in NFC South,-,-,-,-,qMqMgyn,COqttoHL,930
ATL,2002,9,6,1,.594,2nd in NFC South,1,1,.500,Lost to Philadelphia Eagles in NFC Divisional Game.,Nh47T16,jMuqpP,400
ATL,2003,3,10,0,.231,4th in NFC South,-,-,-,-,CbalGqK,TzWpyA,786
ATL Total,ATL Total,49,59,1,.454,,3,2,.600,,9bdAPu6R,DYteihX,718
Total,Total,190,165,2,.535,,11,9,.550,,eoihGx,guPjdwB,754
