Z,Element,Observed or predicted,Isolated (widely known),Observer,First isolator,Notes,Filler_1
105,Dubnium,1970,,"A. Ghiorso, M. Nurmia, K. Eskola, J. Harris and P. Eskola",,Prepared by bombardment of californium with nitrogen atoms.,pMxZo
106,Seaborgium,1974,,"A. Ghiorso, J. Nitschke, J. Alonso, C. Alonso, M. Nurmia, G. T. Seaborg, K. Hulet and W. Lougheed",,Prepared by collisions of californium-249 with oxygen atoms.,sEownKb
107,Bohrium,1981,,G.Münzenberg et al. (GSI in Darmstadt),,Obtained by bombarding bismuth with chromium.,LfsiNE
109,Meitnerium,1982,,"G. Münzenberg, P. Armbruster et al. (GSI in Darmstadt)",,Prepared by bombardment of bismuth with iron atoms.,pTJVR
108,Hassium,1984,,"G. Münzenberg, P. Armbruster et al. (GSI in Darmstadt)",,Prepared by bombardment of lead with iron atoms,VyZWiXL
110,Darmstadtium,1994,,S. Hofmann et al. (GSI in Darmstadt),,Prepared by bombardment of lead with nickel.,JIGDRX
111,Roentgenium,1994,,S. Hofmann et al. (GSI in Darmstadt),,Prepared by bombardment of bismuth with nickel.,iWcJOKSj
112,Copernicium,1996,,S. Hofmann et al. (GSI in Darmstadt),,Prepared by bombardment of lead with zinc.,FjkJIKU
114,Flerovium,1999,,Y. Oganessian et al. (JINR in Dubna),,Prepared by bombardment of plutonium with calcium,srHFnl
116,Livermorium,2000,,Y.Oganessian et al. (JINR in Dubna),,Prepared by bombardment of curium with calcium,crWZsNb
