Pick #,NFL Team,Player,Position,College
430,Houston Oilers,Hank Autry,Center,Southern Mississippi
431,Chicago Bears,Bob Long,Wide receiver,Texas A&M
432,San Francisco 49ers,Joe Rushing,Linebacker,Memphis State
433,Minnesota Vikings,Wendell Housely,Running back,Texas A&M
434,San Diego Chargers,Larry Rentz,Defensive back,Florida
435,St. Louis Cardinals,George Hummer,Center,Arizona State
436,Cleveland Browns,Bob Oliver,Defensive end,Abilene Christian
437,Los Angeles Rams,Jim Thorpe,Defensive back,Hofstra
438,Kansas City Chiefs,Ralph Jenkins,Defensive back,Tuskegee
439,Dallas Cowboys,Bill Bailey,Defensive tackle,Lewis & Clark
440,Oakland Raiders,Billy Austin,Tight end,Arkansas AM&N
441,Baltimore Colts,Joe Cowan,Wide receiver,Johns Hopkins
442,New York Jets,Fred Zirkie,Defensive tackle,Duke
