Pick #,NFL Team,Player,Position,College,Irrelevant_1,Filler_2
417,Buffalo Bills,Wayne Lineberry,Linebacker,East Carolina,MFpn4aO,UAbAn
418,Atlanta Falcons,Paul Williams,Running back,California,vyeTEL,ARxmczM
419,Philadelphia Eagles,Bob Haack,Tackle,Linfield (Ore.),kyY6FGni,uwQVb
420,Pittsburgh Steelers,Bill Eppright,Kicker,Kent State,SlOUjdN,uIwHx
421,Cincinnati Bengals,Terry Story,Tackle,Georgia Tech,4Tzs1n7,zPZSJFJU
422,Boston Patriots,George Muse,Linebacker,Grambling,bsS5PJ3e,KmCbj
423,New Orleans Saints,Chico Kurzawski,Defensive back,Northwestern,MF8rWcg,RkBZVgE
424,Detroit Lions,Gary Steele,Tight end,Army,smxYh,simdU
425,Denver Broncos,Buster O'Brien,Quarterback,Richmond,xZayQDPo,MvClf
426,Washington Redskins,Rich Dobbert,Defensive end,Springfield (Mass.),2zDtMI,pGSRku
427,Miami Dolphins,Tom Krallman,Defensive end,Xavier,cZ2jVH,tOJbnMz
428,Green Bay Packers,John Mack,Running back,Central Missouri,E7d9Xv,tiAgzce
429,New York Giants,Ken Riley,Linebacker,Texas-Arlington,6FuJRub5,qfDTqo
