#,Wrestlers,Reign,Date,Daysheld,Location,Notes,Noise_Field_1,Extra_Data_2
1,Kuishinbo Kamen,1,"January 4, 2001",758,"Osaka, Japan",Kamen defeated Ebessan to become the first champion.,vVLsqUOt,323
2,Ebessan,1,"February 1, 2003",56,"Osaka, Japan",,UofUI,671
3,Pero,1,"March 29, 2003",7,"Osaka, Japan",,TNlYCS,624
4,Ebessan,2,"April 5, 2003",92,"Osaka, Japan",,uwNvesG,744
5,Tigers Mask,1,"July 6, 2003",90,"Osaka, Japan",,gwpQs,76
—,Vacant,—,"October 4, 2003",—,N/A,Tigers Mask vacated the title to enter the Tennozan 2003 tournament.,JTPpsKd,807
6,Miracle Man,1,"December 7, 2003",55,"Osaka, Japan","Miracle Man won a 4-Way Match which included Ebessan, Kuishinbo Kamen, and Pero to win the vacant championship.",rRgiOLd,245
7,Ebessan,3,"January 31, 2004",21,"Osaka, Japan",,tfTCTxl,261
8,Kuishinbo Kamen,2,"February 21, 2004",665,"Osaka, Japan",,pYglX,226
—,Stripped,—,"December 17, 2005",—,N/A,Kamen was stripped of the title due to a lack of title defenses.,rwrTMtf,332
9,Policeman,1,"February 18, 2006",311,"Osaka, Japan",,CKUFkfnT,326
