#,Wrestlers,Reign,Date,Daysheld,Location,Notes
10,Okita-kun,1,"February 26, 2006",314,"Osaka, Japan",Okita-kun won an Eight-Man Battle Royal last eliminating Policeman.
—,Vacant,—,"January 6, 2007",—,N/A,"Okita-hun vacated the title due to an ear injury on September 16, 2009"
11,Sgt. Suchi,1,"February 12, 2007",194,"Osaka, Japan","Sgt. Suchi is a comedian who won a Battle Royal, last eliminating Miracle Man and Kuishinbo Kamen."
12,Ebessan III,1,"August 25, 2007",113,"Osaka, Japan",
13,Kuishinbo Kamen,3,"December 16, 2007",84,"Tokyo, Japan",
14,Miracle Man,2,"March 9, 2008",51,"Tokyo, Japan",
15,Kanjyuro Matsuyama,1,"April 29, 2008",0,"Tokyo, Japan",Matsuyama retires the title immediately after the match and declares himself the first Osaka Pro Wrestling Owarai Champion.
16,Kuishinbo Kamen,4,"April 29, 2010",59,"Osaka, Japan",Kamen wins both the Owarai Championship and the re-activated Osaka Meibutsu Sekaiichi Championship.
17,Kyusei Ninja Ranmaru,1,"June 27, 2010",22,"Osaka, Japan",Ranmaru wins both titles.
18,Kuishinbo Kamen,5,"July 19, 2010",1435+,"Osaka, Japan",Kamen wins both titles.
