Country,Total GDP (nominal)(billion US$),"GDP per capita(US$, PPP)","GDP Growth,2007-2011(in %)",HDI,Irrelevant_1,Filler_2,Noise_Field_3
Somalia,(N/A),(N/A),(N/A),(N/A),mZQzRO,kpyfyP,lTkGd
South Africa,408.2,"11,035",2.7,0.674,2QVPtXU,TNoutmn,BMgbYG
South Sudan,,,,,wjY7MU2v,SFJWttwY,PgXciJc
Sudan,55.1,"2,141",4.1,0.526,hZVdQ,IdxuIjg,kgrhXKL
Swaziland,4.0,"6,099",2.1,0.547,vvBq4C,ekfQNj,urEDSULt
Tanzania,23.7,"1,521",6.8,0.467,IOwywG,IkNemyL,hFlVF
Togo,3.6,"1,042",3.1,0.512,IdpG3,etoZD,fGPPvzi
Tunisia,45.9,"9,415",3.0,0.766,Y25nrAi,Floemb,WmVBEV
Uganda,16.8,"1,354",7.4,0.505,OB2ZrPOK,OHqUwc,WQZUdvUe
Zambia,19.2,"1,623",6.4,0.434,P5A6guD,JAZaWe,APudgD
Zimbabwe,9.9,(N/A),0.6,0.513,05CHK,SYfgudL,rnpuxW
