Country,Total GDP (nominal)(billion US$),"GDP per capita(US$, PPP)","GDP Growth,2007-2011(in %)",HDI,Noise_Field_1,Noise_Field_2,Irrelevant_3
Algeria,188.7,"8,715",2.7,0.733,zIhixF,gHZJZK,M2nUVL
Angola,101.0,"5,930",9.1,0.446,CDvgGR,rqhXhBzc,ijE1X
Benin,7.3,"1,628",3.9,0.437,DHrGO,GGkpjn,uVWiAo8Z
Botswana,17.6,"14,753",3.0,0.654,RQQqxz,DDUMdD,GiS0B
Burkina Faso,10.2,"1,310",4.9,0.370,XdJZIkFJ,QaEdcht,tKfYFBCo
Burundi,2.3,608,4.3,0.413,WIpFGBo,LYVMRp,GglNk
Cameroon,25.5,"2,383",3.1,0.532,rIEYzQk,CvGpT,jPsXD6i
Cape Verde,1.9,"4,123",5.8,0.736,oCctVy,AbsUFW,K7hLLzR
Central African Republic,2.2,816,2.8,0.384,ttSzqujL,hBgCx,MNxHNX
Chad,9.5,"1,531",2.9,0.388,AzNtIiOV,gFlES,1HIK4
Comoros,0.6,"1,117",1.5,0.561,dDOwKgSY,GyEYUR,EkjzW
