Site,Date(s),Designated,Location,Description
Marie-Reine-du-Monde Cathedral,1894 (consecrated),1999,Montreal45°29′57.86″N 73°34′7.36″W﻿ / ﻿45.4994056°N 73.5687111°W,"A Baroque Revival cathedral that, when built, represented a break from the dominance of the Gothis Revival style in church architecture in Montreal; inspired by St. Peter's Basilica in Rome, it is the most significant symbol of ultramontanism in Canada"
Marlborough Apartments,1900 (completed),1990,Montreal45°30′25.07″N 73°34′32.6″W﻿ / ﻿45.5069639°N 73.575722°W,"A four-storey, red brick apartment building that is an excellent example of the start of the 20th century apartment design in Canada; Queen Anne design was a popular style for luxury domestic architecture across Canada in this period, and this is one of the few Queen Anne apartment buildings that has survived in the country"
Masonic Memorial Temple,1930 (completed),2001,Montreal45°29′40.92″N 73°34′58.85″W﻿ / ﻿45.4947000°N 73.5830139°W,"A monumental masonic temple resembling a Greek temple, built to honour the Freemasons who served in the First World War; an exceptional example of late Beaux-Arts architecture in Canada"
Merchants Textile Mill,1882 (established),1989,Montreal45°28′32″N 73°34′48″W﻿ / ﻿45.47556°N 73.58000°W,The second largest textile mill in Canada for the first four decades of the 20th century
Model City of Mount Royal,1914 (district plan),2008,Mount Royal45°30′58″N 73°38′35″W﻿ / ﻿45.51611°N 73.64306°W,"A historic residential suburb developed in accordance with a 1914 district plan by Frederick Todd; a noted synthesis of the City Beautiful, Garden City and Garden Suburb movements, and remarkably homogeneous despite being constructed over the course of six decades"
Monklands / Villa Maria Convent,1804 (completed),1951,Montreal45°28′54.53″N 73°37′1.6″W﻿ / ﻿45.4818139°N 73.617111°W,A two-storey stone Neo-Palladian mansion that served as the official residence of Governors General of Canada from 1844 to 1849
Montreal Botanical Garden,1931 (established),2008,Montreal45°33′26.00″N 73°33′24.50″W﻿ / ﻿45.5572222°N 73.5568056°W,A 75-hectare (190-acre) botanical garden; its collections and facilities rank it as one of the most important botanical gardens in the world
Montreal City Hall,"1878 (completed), 1922 (rebuilt)",1984,Montreal45°30′31.84″N 73°33′14.45″W﻿ / ﻿45.5088444°N 73.5540139°W,"A five-storey stone building and one of the best examples of the Second Empire style in the country; the first city hall to have been constructed in Canada solely for municipal administration, representing the growing importance of urban areas and municipal services in the late 19th century"
Montreal Forum,1924 (completed),1997,Montreal45°29′25″N 73°35′5″W﻿ / ﻿45.49028°N 73.58472°W,"One of Canada's most famous sporting venues; an icon of Canadian culture due to its association with one of the most successful sporting franchises in North America, the Montreal Canadiens"
Montreal's Birthplace,1642 (event),1924,Montreal45°30′12.27″N 73°33′14.31″W﻿ / ﻿45.5034083°N 73.5539750°W,"The location where Paul Chomedey de Maisonneuve laid the foundation of Montreal, as Fort Ville-Marie, on May 18, 1642"
Monument National,1893 (completed),1985,Montreal45°30′32.76″N 73°33′45″W﻿ / ﻿45.5091000°N 73.56250°W,A four-storey theatre and cultural centre constructed by the Saint-Jean-Baptiste Society and then known as the “Heart of French America”; now occupied by the National Theatre School of Canada
Mother House of the Grey Nuns of Montreal,1871 (completed),2011,Montreal45°29′37″N 73°34′36″W﻿ / ﻿45.49361°N 73.57667°W,"The former motherhouse of the Grey Nuns, now part of Concordia University; notable due to the manner in which the site incorporates the architectural trends of its time, and for the social relevance of the work performed by the religious order"
