Site,Date(s),Designated,Location,Description,Unused_1,Random_Column_2,Unused_3
St. George's Anglican Church,1870 (completed),1990,Montreal45°32′23.5″N 73°36′51.07″W﻿ / ﻿45.539861°N 73.6141861°W,An Anglican church in downtown Montreal that is an excellent example of the High Victorian phase of the Gothic Revival style,,qwDVSH,
St. James United Church,1888 (completed),1996,Montreal45°30′18.97″N 73°34′6.56″W﻿ / ﻿45.5052694°N 73.5684889°W,"A large stone church in the High Victorian Gothic Revival style, closely associated with the late phase of Methodism in Canada; best known example in the country of an amphitheatre plan for the nave and transept and a Sunday school influenced by the Akron plan in the chancel",,JSWXKbV,
St. Patrick's Basilica,1847 (completed),1990,Montreal45°30′12.82″N 73°33′53.31″W﻿ / ﻿45.5035611°N 73.5648083°W,"A noted example of French Gothic Revival architecture in the country; built to serve one of the largest early influxes of Irish immigrants to what is now Canada, the heart of the Irish population of Montreal, and the location of the funeral of Thomas D’Arcy McGee in 1868",,fRej9,
Sulpician Towers / Fort de la Montagne,1694 (completed),1970,Montreal45°29′37.68″N 73°35′4.56″W﻿ / ﻿45.4938000°N 73.5846000°W,Two 13-metre (43 ft) towers that were once bastions of a fort built by François Vachon de Belmont for the Sulpicians of a nearby mission; once housed the school and nuns of Marguerite Bourgeoys,,HxRRxCz,
The Fur Trade at Lachine,1803 (completed),1970,Montreal45°25′53.04″N 73°40′32.16″W﻿ / ﻿45.4314000°N 73.6756000°W,"A single-storey stone warehouse located in an attractive park-like setting on the banks of the Lachine Canal; originally built by the North West Company, the warehouse symbolizes the history of the fur trade in Montreal",,zG3YdN,
The Main,,1996,Montreal45°30′36.58″N 73°33′51.93″W﻿ / ﻿45.5101611°N 73.5644250°W,"A 6-kilometre (3.7 mi) long stretch of Saint Laurent Boulevard where consecutive waves of immigrants settled; the merging and mixing of cultures created a character that inspired novelists, poets, singers, and film-makers",,uTCYOAA,
Trafalgar Lodge,1848 (completed),1990,Westmount45°29′42.36″N 73°35′53.39″W﻿ / ﻿45.4951000°N 73.5981639°W,An asymmetrical one-and-a-half storey brick villa; a rare example of a Gothic Revival villa in Quebec,,H2wCvP9,
Van Horne / Shaughnessy House,1848 (completed),1973,Montreal45°29′42.36″N 73°35′53.39″W﻿ / ﻿45.4951000°N 73.5981639°W,"The Second Empire-style mansion of Thomas Shaughnessy, 1st Baron Shaughnessy, now forming part of the Canadian Centre for Architecture",,oEr4pJ9,
Westmount District,1874 (city incorporated),2012,Westmount,"The historic district of Westmount which epitomizes the architectural styles and trends in landscape architecture of 1890 to 1930; reflects the efforts of local citizens who, from the early 20th century onwards, sought to protect the diversity and historic integrity of the district's built environment",,egZ0cA,
Wilson Chambers,1868 (completed),1990,Montreal45°30′3.25″N 73°33′35.06″W﻿ / ﻿45.5009028°N 73.5597389°W,"A four-and-a-half-storey stone Gothic Revival style commercial building with Italianate and Second Empire influences; while many churches and institutional buildings were erected in this style in the 19th century, Gothic Revival commercial buildings were rare and this is one of the few remaining examples in Canada",,mMYCVapS,
Windsor Station (Canadian Pacific),1889 (completed),1975,Montreal45°29′50.86″N 73°34′7.18″W﻿ / ﻿45.4974611°N 73.5686611°W,A railway terminal and Canadian Pacific Railway head office originally designed by Bruce Price; one of the earliest major buildings in Canada to use the Richardsonian Romanesque Revival style,,m1x91zi,
