Site,Date(s),Designated,Location,Description,Irrelevant_1,Unused_2
Mount Royal Cemetery,1852 (established),1999,Montreal45°30′32.76″N 73°33′45″W﻿ / ﻿45.5091000°N 73.56250°W,"A 67-hectare (170-acre) cemetery located on the northern slope of Mount Royal and designed in accordance with the Picturesque principles of the early 19th-century rural cemetery movement; many of the funerary monuments are of exceptional historical, architectural or artistic value, and are reflective of the history of Montreal, Quebec and Canada",FZgjraVU,
Notre-Dame Roman Catholic Church / Basilica,1829 (completed),1989,Montreal45°30′16.15″N 73°33′22.55″W﻿ / ﻿45.5044861°N 73.5562639°W,"An immense stone church built in the Romantic Gothic Revival style, it was upon completion the largest church in either Canada or the U.S. for half a century; the first significant example of the Gothic Revival style in Canada, with many of Quebec’s most celebrated architects and artisans helping complete the decoration of the church in the 19th and 20th centuries",H5evi4P,
Notre-Dame-des-Neiges Cemetery,1854 (established),1999,Montreal45°30′6.55″N 73°36′23.48″W﻿ / ﻿45.5018194°N 73.6065222°W,"The largest cemetery in Canada and an outstanding cultural landscape; the historical significance of many of the persons buried in the cemetery commemorates many aspects of the history of Montreal, Quebec and Canada",iq1TB,
Outremont Theatre,1929 (completed),1993,Montreal45°30′6.55″N 73°36′23.48″W﻿ / ﻿45.5018194°N 73.6065222°W,An cinema with an Art Deco exterior and a combined Art Deco and atmospheric interior; a noted example of the type of deluxe cinemas erected in new suburban neighbourhoods across Canada during the 1920s,2Rk4fk,
Pavillon Mailloux,1931 (completed),1997,Montreal45°31′31.54″N 73°33′51.26″W﻿ / ﻿45.5254278°N 73.5642389°W,A five-storey brick nurses’ residence on the campus of Montreal’s Notre-Dame Hospital; construction of this purpose-built residence in 1931 symbolized the growing professionalism of nursing and the expanding role of women in health care,DJkXMiTh,
Rialto Theatre,1924 (completed),1993,Montreal45°31′24.91″N 73°36′17.14″W﻿ / ﻿45.5235861°N 73.6047611°W,A movie palace and an exceptional example of Beaux-Arts architecture in Canada,YfmlTx3,
Sainte-Anne-de-Bellevue Canal,1843 (completed),1929,Sainte-Anne-de-Bellevue45°24′13″N 73°57′16″W﻿ / ﻿45.40361°N 73.95444°W,A canal constructed by the Board of Works of the Province of Canada to by-pass the Ste. Anne’s Rapids in the east channel of the Ottawa River; commemorates the important role played by such waterways during the 19th and 20th centuries,dQ9SSuI,
Saint Joseph's Oratory of Mount Royal,"1904 (established), 1967 (basilica completed)",2003,Montreal45°29′30″N 73°37′0″W﻿ / ﻿45.49167°N 73.61667°W,"A large Roman Catholic pilgrimage site located on the north slope of Mount Royal, dominated by a landmark domed basilica; conceived by André Bessette, it has developed into a national and international religious and tourist destination",GoQsLA,
Saint-Sulpice Seminary and its Gardens,1687 (completed),1980,Montreal45°30′14″N 73°33′25″W﻿ / ﻿45.50389°N 73.55694°W,A religious seminary with garden; a rare and remarkable example of French Regime classicism known also for the historical integrity of its convent garden,eFplaSk,
Senneville Historic District,1860 (established),2002,Senneville45°25′50.1″N 73°57′8.2″W﻿ / ﻿45.430583°N 73.952278°W,"A 565-hectare (1,400-acre) historic district that evolved from a late-19th-century resort village which comprised the country estates of wealthy Montrealers; representative of the development of Picturesque landscape design and Arts and Crafts architecture from 1865 to 1930",JrqblFN5,
Sir George-Étienne Cartier,1838 (completed),1964,Montreal45°30′40.12″N 73°33′5.84″W﻿ / ﻿45.5111444°N 73.5516222°W,"Two houses that together served as the residence of Sir George-Étienne Cartier, a Father of Confederation; representative of an upper-middle class Montreal home of the mid 19th century",HCK4zQ,
St. George Antiochian Orthodox Church,1940 (completed),1999,Montreal45°32′23.5″N 73°36′51.07″W﻿ / ﻿45.539861°N 73.6141861°W,"A predominantly Byzantine-style church, it is the earliest-known, purpose-built church of the Syrian Orthodox community in Canada that continues to fulfil its original role; an important symbol of the history and traditions of this community in Canada",br3nKtL,
