Site,Date(s),Designated,Location,Description,Irrelevant_1
George Stephen House / Mount Stephen Club,1881 (completed),1971,Montreal45°29′56.73″N 73°34′32.93″W﻿ / ﻿45.4990917°N 73.5758139°W,"A large, stone Victorian mansion that is the best example of a Renaissance Revival house in Canada; the home of George Stephen, 1st Baron Mount Stephen, president of the Bank of Montreal and of the Canadian Pacific Railway in the late 19th century",4ZsiQq
Grey Nuns' Hospital,1765 (completed),1973,Montreal45°30′1.31″N 73°33′17.2″W﻿ / ﻿45.5003639°N 73.554778°W,"A three-and-a-half building that is an example of early French Canadian architecture and is the one surviving building of the Grey Nuns' Hospital complex; the Sisters of Charity, founded by Marie-Marguerite d'Youville, tended the sick and dispossessed here until 1871, and it is from this building that they extended their ministry across Canada",ITUiMd4
H. Vincent Meredith Residence,1897 (completed),1990,Montreal45°30′15.11″N 73°34′54.7″W﻿ / ﻿45.5041972°N 73.581861°W,"Representative of the mansions built by Montreal’s elite in the late 19th century in the Golden Square Mile and a noted example of a house in the Queen Anne Revival-style; built for businessman and philanthropist Vincent Meredith and his wife, Lady Meredith, now serving as the McGill Centre for Medicine, Ethics and Law.",13Snx
Hersey Pavilion,1905 (completed),1997,Montreal45°30′30.94″N 73°34′50.01″W﻿ / ﻿45.5085944°N 73.5805583°W,"One of the first purpose-built nurses' residences in Canada, located on the Royal Victoria Hospital campus; symbolic of the history of training and the professionalism of nurses in Canada",IXAhF
Hochelaga,"1300s (ca.) (first construction of fortified villages in area, as later witnessed by Cartier), 1535 (arrival of Cartier)",1920,Montreal45°30′12.83″N 73°34′30.58″W﻿ / ﻿45.5035639°N 73.5751611°W,"A grass-covered area about 79 square metres (850 sq ft) in area with a stone marker, located to the left of the main entrance of McGill University; representative of the Iroquois village of Hochelaga that was visited by Jacques Cartier, the first European to reach the future site of Montreal, in 1535",ivJHAAO
Lachine Canal,1825 (completed),1929,Montreal45°27′30″N 73°36′42″W﻿ / ﻿45.45833°N 73.61167°W,"An early 19th-century canal, 14 kilometres (8.7 mi) in length, built to circumvent white water on the St. Lawrence River; the head of a canal network linking the Great Lakes and the interior of the continent to the Atlantic Ocean",7EANHr
Lachine Canal Manufacturing Complex,1825 (completed),1996,Montreal45°27′30″N 73°36′42″W﻿ / ﻿45.45833°N 73.61167°W,"An important manufacturing and industrial complex, with the number of firms and diversity of its output at its zenith (1880 to 1940) unparalleled elsewhere in Canada; at one time, over 20% of the workforce of the Island of Montreal was employed in the area",Oe9Bbn
Last Post Fund National Field of Honour,1930 (established),2007,Pointe-Claire45°26′38.80″N 73°50′15.58″W﻿ / ﻿45.4441111°N 73.8376611°W,A military cemetery for veterans who died in a hospital or a public establishment after their military service; symbolic of principles such as the equality of soldiers in death and perpetual remembrance,eoyUl0
LeBer-LeMoyne House,1671 (completed),2002,Montreal45°25′48″N 73°39′59″W﻿ / ﻿45.43000°N 73.66639°W,A 17th-century fieldstone former fur trading post; the oldest known extant buildings associated with Charles LeMoyne and the fur trade during the French Regime,EfZNW
Louis-Joseph Papineau,1785 (completed),1968,Montreal45°30′35.77″N 73°33′7.88″W﻿ / ﻿45.5099361°N 73.5521889°W,A two-and-a-half storey stone house that was the Papineau family home in Montreal; associated with the most important period in Papineau's life when he was the leader of the Parti canadien and one of the leading figures in the Lower Canada Rebellion,AJmoVhjc
Maison Cartier,1813 (completed),1982,Montreal45°30′28.56″N 73°33′9.18″W﻿ / ﻿45.5079333°N 73.5525500°W,Two two-and-a-half storey stone attached houses that are typical of pre-industrial construction in Canada; originally constructed for Louis Parthenais and Augustin Perrault,KIs4kNa
Maison Saint-Gabriel,1668 (completed),2007,Montreal45°28′33.37″N 73°33′21.58″W﻿ / ﻿45.4759361°N 73.5559944°W,"A fieldstone house that was home to the sisters of the Congregation of Notre Dame, who operated a farm for more than 300 years, making it one of the oldest surviving farm properties in Canada; an exceptional example of rural architecture of the French Regime",tcDcWV3G
