Year,Competition,Venue,Position,Event,Notes
2001,Asian Junior Championships,"Bandar Seri Begawan, Brunei",1st,110 m hurdles,14.05
2002,World Junior Championships,"Kingston, Jamaica",2nd,110 m hurdles,13.58
2002,Asian Games,"Busan, South Korea",4th,110 m hurdles,13.92
2003,World Indoor Championships,"Birmingham, United Kingdom",18th (h),60 m hurdles,7.81
2003,World Championships,"Paris, France",6th,110 m hurdles,13.55
2003,Asian Championships,"Manila, Philippines",1st,110 m hurdles,13.50
2004,World Indoor Championships,"Budapest, Hungary",17th (h),60 m hurdles,7.75
2004,Olympic Games,"Athens, Greece",33rd (h),110 m hurdles,13.68
2005,World Championships,"Helsinki, Finland",9th (sf),110 m hurdles,13.44
2005,Asian Championships,"Incheon, South Korea",2nd,110 m hurdles,13.44
2006,World Indoor Championships,"Moscow, Russia",8th (sf),60 m hurdles,7.63
2006,Asian Games,"Doha, Qatar",2nd,110 m hurdles,13.28
