Year,Competition,Venue,Position,Event,Notes,Filler_1
2007,World Championships,"Osaka, Japan",5th,110 m hurdles,13.19,azXqLG
2008,World Indoor Championships,"Valencia, Spain",9th (sf),60 m hurdles,7.65,LAlmQHr
2008,Olympic Games,"Beijing, China",8th (sf),110 m hurdles,13.42,mdmDTdaQ
2009,Asian Championships,"Guangzhou, China",2nd,110 m hurdles,13.67,AGOioyWp
2009,World Championships,"Berlin, Germany",8th (sf),110 m hurdles,13.42,WNkDNQ
2010,World Indoor Championships,"Doha, Qatar",16th (sf),60 m hurdles,7.82,SHpICYUk
2010,Asian Games,"Guangzhou, China",2nd,110 m hurdles,13.38,rbjAf
2011,Asian Championships,"Kobe, Japan",2nd,110 m hurdles,13.56,EJmWCoBx
2011,World Championships,"Daegu, South Korea",9th (sf),110 m hurdles,13.57,HqFhmZJm
2012,World Indoor Championships,"Istanbul, Turkey",24th (h),60m hurdles,8.15,SKywm
2012,Olympic Games,"London, United Kingdom",37th (h),110 m hurdles,13.78,jXIQLPQ
