No. inseries,No. inseason,Title,Directed by,Written by,Original air date,Productioncode
137,13,\I," Clownius\""""",Shelley Jensen,Story: David WyattTeleplay: George Tricker,"January 15, 1996"
138,14,"\Breaking Up is Hard to Do\"" (Part 1)""",Shelley Jensen,Lisa Rosenthal,"February 12, 1996",60113
139,15,"\Breaking Up is Hard to Do\"" (Part 2)""",Shelley Jensen,Lisa Rosenthal,"February 19, 1996",60114
140,16,\I," Bowl Buster\""""",Shelley Jensen,Michael Soccio,"February 26, 1996"
141,17,"\The Butler's Son Did It\""""",Madeline Cripe,Lisa Rosenthal,"March 18, 1996",60116
142,18,"\Hare Today…\""""",Shelley Jensen,Robert Bruce,"April 8, 1996",60119
143,19,\I, Whoops," There It Is\""""",Shelley Jensen,Tanya Ward & Mary Beth Pemberton
144,20,\I," Stank Horse\""""",Shelley Jensen,Tom Devanney,"April 22, 1996"
145,21,\I," Stank Hole in One\""""",Werner Walian,Matt Tarses & Michael Soccio,"May 6, 1996"
146,22,\Eye," Tooth\""""",Shelley Jensen,Adam Markowitz,"May 13, 1996"
147,23,\I," Done\"" (Part 1)""",Shelley Jensen,Jeff Pollack,"May 20, 1996"
148,24,\I," Done\"" (Part 2)""",Werner Walian,Jeff Pollack,"May 20, 1996"
