No. inseries,No. inseason,Title,Directed by,Written by,Original air date,Productioncode,Filler_1,Unused_2
125,1,"\Burnin' Down the House\""""",Madeline Cripe,Joel Madison & Adam Markowitz,"September 18, 1995",60101,YnjozAd,
126,2,"\Get a Job\""""",Shelley Jensen,Mort Scrivner,"September 25, 1995",60102,JWZkbJ,
127,3,"\Stress Related\""""",Shelley Jensen,Larry Wilmore,"October 2, 1995",60103,oRZNIaI,
128,4,"\Bourgie Sings the Blues\""""",Shelley Jensen,Tom Devanney,"October 9, 1995",60104,WJdWHiq,
129,5,"\The Script Formerly Known As…\""""",Shelley Jensen,Felicia D. Henderson,"October 16, 1995",60105,NDqBDzu,
130,6,"\Not I Barbecue\""""",Madeline Cripe,Matt Tarses & Kandace Yvette Williams,"October 23, 1995",60106,tCKVxZ,
131,7,"\Not With My Cousin You Don't\""""",Shelley Jensen,Adam Markowitz,"November 6, 1995",60107,HYBYvisj,
132,8,"\Viva Lost Wages\""""",Shelley Jensen,Robert Bruce,"November 13, 1995",60108,PAvApMA,
133,9,"\There's the Rub\"" (Part 1)""",Shelley Jensen,Joel Madison,"November 20, 1995",60109,ozLrFnf,
134,10,"\There's the Rub\"" (Part 2)""",Shelley Jensen,Joel Madison,"November 20, 1995",60110,sZrDgx,
135,11,\I, Ooh, Baby," Baby\""""",Alfonso Ribeiro,lEuNaKiJ,
136,12,"\Boxing Helena\""""",Shelley Jensen,Michael Soccio,"January 8, 1996",60112,VlIBuqeY,
