Location,Reactor type,Status,NetCapacity(MWe),GrossCapacity(MWe)
Chernobyl-1,RBMK-1000,shut down in 1996,740,800
Chernobyl-2,RBMK-1000,shut down in 1991,925,"1,000"
Chernobyl-3,RBMK-1000,shut down in 2000,925,"1,000"
Chernobyl-4,RBMK-1000,destroyed in the 1986 accident,925,"1,000"
Chernobyl-5,RBMK-1000,construction cancelled in 1988,950,"1,000"
Chernobyl-6,RBMK-1000,construction cancelled in 1988,950,"1,000"
Ignalina-1,RBMK-1500,shut down in 2004,"1,185","1,300"
Ignalina-2,RBMK-1500,shut down in 2009,"1,185","1,300"
Ignalina-3,RBMK-1500,construction cancelled in 1988,"1,380","1,500"
Ignalina-4,RBMK-1500,plan cancelled in 1988,"1,380","1,500"
Kostroma-1,RBMK-1500,construction cancelled in 1980s,"1,380","1,500"
Kostroma-2,RBMK-1500,construction cancelled in 1980s,"1,380","1,500"
Kursk-1,RBMK-1000,operational until 2021,925,"1,000"
