Tie no,Home team,Score,Away team,Filler_1,Unused_2
85,Ransta IK (D4),1-3,IFK Hallsberg (D4),zAxzQdY,
86,Skyllbergs IK (WC),0-4,IFK Kristinehamn (D4),gGIzYgi,
87,Filipstads FF (D4),3-1,Kungsörs SK (D4),MefAaO,
88,Hallstahammars SK (D4),0-7,IFK Eskilstuna (D2),RGlCq,
89,BK Hird (D4),0-5,Hargs BK (D2),SzPAm,
90,Vretstorps IF (WC),1-5,IFK Ölme (D3),sdyoykKH,
91,Frövi IK (WC),1-9,Skiljebo SK (D3),XemUQXmh,
92,IF Rune (WC),1-3,Gnesta FF (D3),PWdRPCKF,
93,Västerås BK 30 (WC),0-8,Örebro SK Ungdom (D4),CCzUFtpK,
94,VoIF Diana (WC),4-0,Enskede IK (D4),maIlcB,
95,New Mill FF (WC),4-2,Värtans SK (D3),IzRLPDr,
96,Runtuna IK/Löthen (WC),1-2,Huddinge IF (D3),PpAPAU,
