Record,Athlete,Nation,Venue,Date,#
4.58 m (15 ft 01⁄4 in),Emma George,Australia,"Melbourne, Australia",14 March 1998,9
4.59 m (15 ft 01⁄2 in),Emma George,Australia,"Brisbane, Australia",21 March 1998,10
4.60 m (15 ft 1 in),Emma George,Australia,"Sydney, Australia",20 February 1999,11
4.60 m (15 ft 1 in),Stacy Dragila,United States,"Sevilla, Spain",21 August 1999,1
i 4.60 m (15 ft 1 in),Stacy Dragila,United States,"Pocatello, U.S.",19 Feb 2000,2
i 4.62 m (15 ft 13⁄4 in),Stacy Dragila,United States,"Atlanta, U.S.",3 Mar 2000,3
4.63 m (15 ft 21⁄4 in),Stacy Dragila,United States,"Sacramento, U.S.",23 July 2000,4
i 4.63 m (15 ft 21⁄4 in),Stacy Dragila,United States,"New York City, U.S.",2 Feb 2001,5
i 4.64 m (15 ft 21⁄2 in),Svetlana Feofanova,Russia,"Dortmund, Germany",11 February 2001,1
i 4.66 m (15 ft 31⁄4 in),Stacy Dragila,United States,"Pocatello, U.S.",17 Feb 2001,6
i 4.70 m (15 ft 5 in),Stacy Dragila,United States,"Pocatello, U.S.",17 Feb 2001,7
