Record,Athlete,Nation,Venue,Date,#
4.70 m (15 ft 5 in),Stacy Dragila,United States,"Pocatello, U.S.",27 April 2001,8
4.71 m (15 ft 51⁄4 in),Stacy Dragila,United States,"Palo Alto, U.S.",9 June 2001,9
4.81 m (15 ft 91⁄4 in),Stacy Dragila,United States,"Palo Alto, U.S.",9 June 2001,10
4.82 m (15 ft 93⁄4 in),Yelena Isinbayeva,Russia,"Gateshead, England",13 July 2003,1
i 4.83 m (15 ft 10 in),Yelena Isinbayeva,Russia,"Donets'k, Ukraine",15 February 2004,2
i 4.85 m (15 ft 103⁄4 in),Svetlana Feofanova,Russia,"Athens, Greece",22 February 2004,2
i 4.86 m (15 ft 111⁄4 in),Yelena Isinbayeva,Russia,"Budapest, Hungary",6 March 2004,3
4.87 m (15 ft 111⁄2 in),Yelena Isinbayeva,Russia,"Gateshead, England",27 June 2004,4
4.88 m (16 ft 0 in),Svetlana Feofanova,Russia,"Heraklion, Greece",4 July 2004,3
4.89 m (16 ft 01⁄2 in),Yelena Isinbayeva,Russia,"Birmingham, England",25 July 2004,5
4.90 m (16 ft 03⁄4 in),Yelena Isinbayeva,Russia,"London, England",30 July 2004,6
