Record,Athlete,Nation,Venue,Date,#
4.05 m (13 ft 31⁄4 in),Sun Caiyun,China,"Nanjing, China",21 May 1992,1
4.08 m (13 ft 41⁄2 in),Sun Caiyun,China,"Taiyuan, China",18 May 1995,2
4.08 m (13 ft 41⁄2 in),Zhong Guiqing,China,"Taiyuan, China",18 May 1995,1
4.10 m (13 ft 51⁄4 in),Daniela Bártová,Czech Republic,"Ljubljana, Slovenia",21 May 1995,1
4.12 m (13 ft 6 in),Daniela Bártová,Czech Republic,"Duisburg, Germany",18 June 1995,2
4.13 m (13 ft 61⁄2 in),Daniela Bártová,Czech Republic,"Wesel, Germany",24 June 1995,3
4.14 m (13 ft 63⁄4 in),Daniela Bártová,Czech Republic,"Gateshead, England",2 July 1995,4
4.15 m (13 ft 71⁄4 in),Daniela Bártová,Czech Republic,"Ostrava, Czech Republic",6 July 1995,5
4.16 m (13 ft 73⁄4 in),Daniela Bártová,Czech Republic,"Feldkirch, Austria",14 July 1995,6
4.17 m (13 ft 8 in),Daniela Bártová,Czech Republic,"Feldkirch, Austria",15 July 1995,7
4.18 m (13 ft 81⁄2 in),Andrea Müller,Germany,"Zittau, Germany",5 August 1995,1
