Name,Date of birth,Club,Division,Appointed,Time as manager
Lionel Bah,2 February 1980,WS Brussels,Belgian Second Division,21 September 2013,"0 years, 278 days"
Guido Brepoels,7 June 1961,Dessel Sport,Belgian Second Division,24 September 2013,"0 years, 275 days"
Čedomir Janevski,3 July 1961,Mons,Belgian Pro League,27 September 2013,"0 years, 272 days"
Mircea Rednic,9 April 1962,Gent,Belgian Pro League,1 October 2013,"0 years, 268 days"
Bob Peeters,10 January 1974,Waasland-Beveren,Belgian Pro League,5 November 2013,"0 years, 233 days"
Rachid Chihab,,Mouscron-Péruwelz,Belgian Second Division,19 December 2013,"0 years, 189 days"
Franky Vercauteren,28 October 1956,Mechelen,Belgian Pro League,5 January 2014,"0 years, 172 days"
Jean-Guy Wallemme,10 August 1967,RWDM Brussels,Belgian Second Division,30 January 2014,"0 years, 147 days"
René Desaeyere,14 September 1947,Aalst,Belgian Second Division,5 February 2014,"0 years, 141 days"
Emilio Ferrera,19 June 1967,Genk,Belgian Pro League,24 February 2014,"0 years, 122 days"
Ivan Leko,7 February 1978,OH Leuven,Belgian Pro League,25 February 2014,"0 years, 121 days"
