Name,Date of birth,Club,Division,Appointed,Time as manager,Filler_1
Tintín Márquez,7 January 1962,Eupen,Belgian Second Division,6 July 2012,"1 year, 355 days",yMldvz
Lorenzo Staelens,30 April 1964,Cercle Brugge,Belgian Pro League,2 April 2013,"1 year, 85 days",OcgcQ
Dennis van Wijk,16 December 1962,Westerlo,Belgian Second Division,29 April 2013,"1 year, 58 days",xWNtGpp
Stanley Menzo,15 October 1963,Lierse,Belgian Pro League,14 May 2013,"1 year, 43 days",KVpeLHIm
Yannick Ferrera,24 September 1980,Sint-Truiden,Belgian Second Division,24 May 2013,"1 year, 33 days",bJLhrzKK
Guy Luzon,7 August 1975,Standard Liège,Belgian Pro League,27 May 2013,"1 year, 30 days",AnaKOTu
Jimmy Floyd Hasselbaink,27 March 1972,Antwerp,Belgian Second Division,29 May 2013,"1 year, 28 days",ZkSfAzNz
Philippe Médery,,Visé,Belgian Second Division,31 May 2013,"1 year, 26 days",lfuOryGK
Felice Mazzu,12 March 1966,Charleroi,Belgian Pro League,1 June 2013,"1 year, 25 days",ErKwI
Stijn Vreven,18 July 1973,Lommel United,Belgian Second Division,1 June 2013,"1 year, 25 days",GupDF
Michel Preud'homme,24 January 1959,Club Brugge,Belgian Pro League,21 September 2013,"0 years, 278 days",FQWAPTD
