Year,Competition,Venue,Position,Event,Notes,Unused_1
1997,World Championships,"Athens, Greece",1st,50 km walk,3:44:46,
1998,European Championships,"Budapest, Hungary",1st,50 km walk,3:43:51,
1999,World Race Walking Cup,"Mézidon-Canon, France",4th,20 km walk,1:20:52,
1999,World Championships,"Seville, Spain",–,50 km walk,DQ,
2000,European Race Walking Cup,"Eisenhüttenstadt, Germany",1st,20 km walk,1:18:29,
2000,Olympic Games,"Sydney, Australia",1st,20 km walk,1:18:59 (OR),
2000,Olympic Games,"Sydney, Australia",1st,50 km walk,3:42:22,
2001,World Championships,"Edmonton, Canada",1st,50 km walk,3:42.08,
2001,Goodwill Games,"Brisbane, Australia",2nd,"20,000 m walk",1:19:52.0,
2002,European Championships,"Munich, Germany",1st,50 km walk,3:36:39 (WR),
2003,World Championships,"Paris, France",1st,50 km walk,3:36:03,
2004,Olympic Games,"Athens, Greece",1st,50 km walk,3:38:46,
