Year,Competition,Venue,Position,Event,Notes
1987,European Junior Championships,"Birmingham, United Kingdom",–,20 km walk,DQ
1990,European Championships,"Split, Yugoslavia",4th,20 km walk,1:23.47
1991,World Championships,"Tokyo, Japan",10th,20 km walk,1:21:32
1991,World Championships,"Tokyo, Japan",–,50 km walk,DNF
1992,Olympic Games,"Barcelona, Spain",–,20 km walk,DNF
1992,Olympic Games,"Barcelona, Spain",–,50 km walk,DQ
1993,World Indoor Championships,"Toronto, Canada",2nd,5000 m walk,18:35.91
1993,World Championships,"Stuttgart, Germany",–,50 km walk,DQ
1994,European Championships,"Helsinki, Finland",–,50 km walk,DQ
1994,European Championships,"Helsinki, Finland",5th,50 km walk,3:45:57
1995,World Championships,"Gothenburg, Sweden",3rd,50 km walk,3:45.57
1996,Olympic Games,"Atlanta, United States",8th,20 km walk,1:21:13
1996,Olympic Games,"Atlanta, United States",1st,50 km walk,3:43:30
