Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points,Extra_Data_1
Ret,6,Graham Hill,Lotus-Ford,64,Engine,2,,389
Ret,4,Mike Spence,BRM,44,Ignition,11,,735
Ret,9,Dan Gurney,Eagle-Weslake,34,Clutch,5,,500
Ret,22,Silvio Moser,Cooper-ATS,29,Oil Pressure,20,,539
Ret,11,Jochen Rindt,Cooper-Maserati,26,Engine,8,,168
Ret,3,Jackie Stewart,BRM,20,Transmission,12,,386
Ret,10,Bruce McLaren,Eagle-Weslake,14,Engine,10,,961
Ret,17,Jo Siffert,Cooper-Maserati,10,Engine,18,,218
Ret,23,Jo Bonnier,Cooper-Maserati,0,Engine,9,,707
DNS,16,Piers Courage,BRM,0,Non Starter,,,738
