City,Country,Airport,Begin,End,Filler_1,Unused_2,Filler_3
Mosjøen,Norway,"Mosjøen Airport, Kjærstad",1987,—,vjHyWu,,iLshGfgS
Molde,Norway,"Molde Airport, Årø",1972*,—,eWdDdWwJ,,gJYcEj
Murmansk,Russia,Murmansk Airport,1994,2000,emtxKU,,LYggS
Narvik,Norway,"Narvik Airport, Framnes",1975*,—,vGOivF,,mCPUoU
Namsos,Norway,"Namsos Airport, Høknesøra",1968,—,dcmsfYgz,,DAjOdyX
Newcastle,United Kingdom,Newcastle Airport,2006,—,GiVVe,,Ofrii
Ørland,Norway,Ørland Airport,1971,1987,PmYLlLxi,,vQLNhI
Ørsta/Volda,Norway,"Ørsta–Volda Airport, Hovden",1971,—,ZPXnrZ,,WTBDh
Oslo,Norway,"Oslo Airport, Fornebu",1974,1998,kOwAu,,DgXlzlKP
Oslo,Norway,"Oslo Airport, Gardermoen",1998,—,mqAbhXAI,,DgoDHzB
Rønne,Denmark,Bornholm Airport,2007,—,bjvxvewX,,bRAsTO
