City,Country,Airport,Begin,End
Aberdeen,United Kingdom,Aberdeen Airport,1999,—
Ålesund,Norway,"Ålesund Airport, Vigra",1971,—
Alta,Norway,Alta Airport,1974,—
Bergen,Norway,"Bergen Airport, Flesland",1971,—
Berlin,Germany,Berlin Tempelhof Airport,1997,2001
Båtsfjord,Norway,Båtsfjord Airport,1990,1999
Båtsfjord,Norway,Båtsfjord Airport,1999,—
Bodø,Norway,Bodø Airport,1968,—
Brønnøysund,Norway,"Brønnøysund Airport, Brønnøy",1968,—
Berlevåg,Norway,Berlevåg Airport,1974,—
Copenhagen,Denmark,Copenhagen Airport,1989,—
