City,Country,Airport,Begin,End
Edinburgh,United Kingdom,Edinburgh Airport,2006,2011
Fagernes,Norway,"Fagernes Airport, Leirin",1999,2000
Florø,Norway,Florø Airport,1971*,—
Førde,Norway,"Førde Airport, Bringeland",1986,—
Førde,Norway,"Førde Airport, Øyrane",1971,1986
Glasgow,United Kingdom,Glasgow International Airport,1997,1999
Gothenburg,Sweden,Gothenburg-Landvetter Airport,1996,—
Hemavan,Sweden,Hemavan Airport,1995,1995
Hammerfest,Norway,Hammerfest Airport,1974,—
Haugesund,Norway,"Haugesund Airport, Karmøy",2010,—
Honningsvåg,Norway,Honningsvåg Airport,1977,—
